compounds,name,maxFlux
cpd00001,H2O,100
cpd00009,Phosphate,100
cpd00027,D-Glucose,5
cpd00030,Mn2+,100
cpd00034,Zn2+,100
cpd00048,Sulfate,100
cpd00058,Cu2+,100
cpd00063,Ca2+,100
cpd00067,H+,100
cpd00099,Cl-,100
cpd00149,Co2+,100
cpd00205,K+,100
cpd00254,Mg,100
cpd00971,Na+,100
cpd10515,Fe+2,100
cpd00013,NH3,100
cpd00443,ABEE,100
cpd00104,BIOT,100
cpd00305,Thiamin,100
cpd00240,EDTA,100
cpd24344,Al+++,100
cpd09225,Boric acid,100
cpd11574,Molybdate,100
cpd03387,Selenite,100
cpd15574,tungstate,100
cpd00244,Ni2+,100
cpd10516,Fe+3,100
cpd00029,Acetate,1
