compounds,name,maxFlux
cpd00001,H2O,100
cpd00027,D-Glucose,5
cpd00119,L-Histidine,1
cpd00322,L-Isoleucine,1
cpd00107,L-Leucine,1
cpd00060,L-Methionine,1
cpd00156,L-Valine,1
cpd00051,L-Arginine,1
cpd00534,I-,100
cpd00205,K+,100
cpd00009,Phosphate,100
cpd00104,BIOT,100
cpd00087,Tetrahydrofolate,100
cpd00218,Niacin,100
cpd00016,Pyridoxal phosphate,100
cpd00220,Riboflavin,100
cpd00305,Thiamin,100
cpd00644,PAN,100
cpd00166,Calomide,100
cpd00443,ABEE,100
cpd14958,(R)-Lipoic acid,10
cpd00254,Mg,100
cpd00048,Sulfate,100
cpd00034,Zn2+,100
cpd00029,Acetate,1
cpd00240,EDTA,100
cpd00058,Cu2+,100
cpd24344,Al+++,100
cpd09225,Boric acid,100
cpd00971,Na+,100
cpd11574,Molybdate,100
cpd03387,Selenite,100
cpd15574,tungstate,100
cpd00244,Ni2+,100
cpd00030,Mn2+,100
cpd00099,Cl-,100
cpd00013,NH3,100
cpd10516,Fe+3,100
cpd00149,Co2+,100
cpd00209,Nitrate,100
cpd00063,Ca2+,100
cpd00121,L-Inositol,1
cpd00023,L-Glutamate,1
cpd00066,L-Phenylalanine,1
cpd00129,L-Proline,1
cpd00132,L-Asparagine,1
cpd00041,L-Aspartate,1
cpd00053,L-Glutamine,1
cpd00054,L-Serine,1
cpd00161,L-Threonine,1
cpd00084,L-Cysteine,1
cpd00035,L-Alanine,1
cpd00033,Glycine,1
cpd00039,L-Lysine,1
cpd00065,L-Tryptophan,1
cpd00069,L-Tyrosine,1
cpd10515,Fe+2,100
cpd13392,Tween 80,100
cpd00128,Adenine,10
cpd00207,Guanine,10
cpd00092,Uracil,10
cpd00309,XAN,10
cpd11575,MOPS,100
cpd26489,Tricine,100
cpd00042,GSH,100
cpd00007,O2,100
cpd00067,H+,100
