cpd00224	L-arabinose
cpd00122	N-Acetyl-D-Glucosamine
cpd00571	D-saccharic acid
cpd00036	Succinic acid
cpd00108	D-galactose
cpd00041	L-aspartic acid
cpd00129	L-proline
cpd00117	D-alanine
cpd00794	D-trehalose
cpd00138	D-mannose
cpd01171	Dulcitol
cpd00550	D-serine
cpd00588	D-sorbitol
cpd00100	Glycerol
cpd00750	L-fucose
cpd00164	D-glucuronic acid
cpd00222	D-gluconic acid
cpd00853	D,L-alpha-glycerol-phosphate
cpd00154	D-xylose
cpd00159	L-lactic acid
cpd00047	Formic acid
cpd00314	D-mannitol
cpd00023	L-glutamic acid
cpd00079	D-glucose-6-phosphate
cpd02143	D-galactonic acid-gamma-lactone
cpd00105	D-ribose
cpd13391	Tween 20
cpd00396	L-rhamnose
cpd00082	D-fructose
cpd00029	Acetic acid
cpd00027	D-glucose
cpd00179	Maltose
cpd03198	D-melibiose
cpd00184	Thymidine
cpd00132	L-asparagine
cpd00320	D-aspartic acid
cpd02351	D-glucosaminic acid
cpd00453	1,2-propanediol
cpd24417	Tween 40
cpd00024	alpha-keto-glutaric acid
cpd00094	alpha-keto-butyric acid
cpd24416	alpha-methyl-D-galactoside
cpd00208	D-lactose
cpd04349	Lactulose
cpd00076	Sucrose
cpd00249	Uridine
cpd00053	L-glutamine
cpd00432	m-tartaric acid
cpd00089	D-glucose-1-phosphate
cpd00072	D-fructose-6-phopshate
cpd13392	Tween 80
cpd23862	alpha-hydroxy-glutaric acid-gamma-lactone
cpd03561	alpha-hydroxy-butyric acid
cpd11603	beta-methyl-D-glucoside
cpd00366	Adonitol
cpd01262	Maltotriose
cpd00438	2-deoxy-adenosine
cpd00182	Adenosine
cpd11589	Glycyl-L-aspartic acid
cpd00137	citric acid
cpd00121	myo-inositol
cpd00611	D-threonine
cpd00106	Fumaric acid
cpd23859	Bromo-succinic acid
cpd00141	Propionic acid
cpd00652	Mucic acid
cpd00139	Glycolic acid
cpd00040	Glyoxylic acid
cpd00158	D-cellobiose
cpd00246	Inosine
cpd11592	Glycyl-L-glutamic acid
cpd16654	Tricarballylic acid
cpd00054	L-serine
cpd00161	L-threonine
cpd00035	L-alanine
cpd11585	L-alanyl-glycine
cpd00142	Acetoacetic acid
cpd27563	N-acetyl-beta-D-mannosamine
cpd24419	Mono-methyl-succinate
cpd24420	Methyl-pyruvate
cpd00386	D-malic acid
cpd00130	L-malic acid
cpd11588	Glycyl-L-proline
cpd00489	p-hydroxy-phenyl-acetic acid
cpd03320	m-hydroxy-phenyl-acetic acid
cpd00374	Tyramine
cpd03884	D-psicose
cpd00368	L-Lyxose
cpd26269	Glucuronamide
cpd00020	Pyruvic acid
cpd00820	L-galactonic acid-gamma-lactone
cpd00280	D-galacturonic acid
cpd03161	Phenylethylamine
cpd00162	2-amino-ethanol
