# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-15479	photosystem I	1.97.1.12	NA	sp|Q55329|PSAJ_SYNY3	27.907	9.9	19.2	83	NOEMGP_00015	394	436	|PWY-101|	bad_blast	NA	rxn16384 rxn26754 	Subunit 9	0	NA
2.5.1.19-RXN	5-enolpyruvoylshikimate-3-phosphate synthase	2.5.1.19	NA	UniRef90_B0K928	53.103	5.0800000000000007e-157	447	99	NOEMGP_00015	5	439	|PWY-6163|	good_blast	NA	rxn02476 	NA	0	1
RXN-15479	photosystem I	1.97.1.12	NA	sp|Q55329|PSAJ_SYNY3	27.907	9.9	19.2	83	NOEMGP_00015	394	436	|PWY-8270|	bad_blast	NA	rxn16384 rxn26754 	Subunit 9	0	NA
RXN-5682	arogenate dehydrogenase	1.3.1.78	NA	UniRef50_U5QSI8	29.889	6.03e-39	136	93	NOEMGP_00020	24	291	|PWY-3461|	bad_blast	NA	rxn00526 	NA	0	NA
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	arogenate dehydrogenase	1.3.1.43	NA	UniRef90_Q04983	29.084	1.22e-33	122	85	NOEMGP_00020	36	282	|PWY-6120|	bad_blast	NA	rxn00525 rxn33966 	NA	0	NA
PREPHENATEDEHYDROG-RXN	prephenate dehydrogenase	1.3.1.12	NA	UniRef90_P20692	37.647	7.55e-74	230	91	NOEMGP_00020	17	353	|PWY-7303|	good_blast	NA	rxn01268 	NA	0	1
PREPHENATEDEHYDROG-RXN	prephenate dehydrogenase	1.3.1.12	NA	UniRef90_P20692	37.647	7.55e-74	230	91	NOEMGP_00020	17	353	|TYRSYN|	good_blast	keyenzyme	rxn01268 	NA	0	1
KDO-8PSYNTH-RXN	3-deoxy-D-manno-octulosonate 8-phosphate synthase	2.5.1.55/4.1.2.16	NA	UniRef90_Q3A372	30.508	2.4e-22	89.7	84	NOEMGP_00025	29	246	|PWY-1269|	bad_blast	NA	rxn02331 rxn32365 	NA	0	NA
KDO-8PSYNTH-RXN	KDO-8PSYNTH-RXN	2.5.1.55/4.1.2.16	NA	UniRef90_Q3A372	30.508	2.4e-22	89.7	84	NOEMGP_00025	29	246	|PWY-7674|	bad_blast	NA	rxn02331 rxn32365 	NA	0	NA
2FLABCTRANSPORT	2-FL ABC transport	NA	NA	tr|B7GN81|B7GN81_BIFLS	28.571	7.440000000000001e-29	108	94	NOEMGP_00115	3	293	2FLHYD	bad_blast	NA	rxn90003 	Subunit 2	0	NA
1.12.1.3-RXN	NADP-dependent hydrogenase	1.12.1.3	NA	UniRef90_Q46508	50.508	0	564	99	NOEMGP_00140	1	583	|PWY-6512|	good_blast	NA	rxn07200 	Subunit HndD	0	NA
RXN-12215	hydrogenase	1.12.1.4	NA	sp|O52683|HYDA_THEMA	41.638	4.49e-122	383	85	NOEMGP_00140	2	583	|PWY-6744|	good_blast	full	rxn16350 rxn22535 	Subunit 1	0	1
HYDROG-RXN	hydrogenase	1.12.7.2	NA	UniRef90_P07598	48.564	1.4e-108	339	86	NOEMGP_00140	145	524	|PWY-6759|	good_blast	NA	rxn05759 rxn08734 rxn08735 rxn08736 rxn19908 rxn90057 	Subunit 3	0	NA
1.12.1.3-RXN	hydrogenase	1.12.1.3	NA	UniRef90_Q46508	50.508	0	564	99	NOEMGP_00140	1	583	|PWY-6765|	good_blast	NA	rxn07200 	Subunit HndD	0	NA
HYDROG-RXN	hydrogenase	1.12.7.2	NA	UniRef90_P07598	48.564	1.4e-108	339	86	NOEMGP_00140	145	524	|PWY-6780|	good_blast	NA	rxn05759 rxn08734 rxn08735 rxn08736 rxn19908 rxn90057 	Subunit 3	0	NA
HYDROG-RXN	hydrogenase	1.12.7.2	NA	UniRef90_P07598	48.564	1.4e-108	339	86	NOEMGP_00140	145	524	|PWY-6785|	good_blast	NA	rxn05759 rxn08734 rxn08735 rxn08736 rxn19908 rxn90057 	Subunit 3	0	NA
