# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	27.632	2.6	23.5	75	BPNJPA_14010 Glycerol dehydrogenase	175	245	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	26.923	1.11e-10	58.9	76	BPNJPA_05335 Trk system potassium transporter TrkA	206	446	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	26.695	3.14e-16	72.8	86	BPNJPA_07405 Uncharacterized oxidoreductase SAV2478	2	229	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	26.531	6.2	21.2	80	BPNJPA_00780 undecaprenyl-diphosphate phosphatase	107	147	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	26.531	6.2	21.2	80	BPNJPA_00780 undecaprenyl-diphosphate phosphatase	107	147	transporter
gnl|TC-DB|P71460|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71460|1.C.30.1.1	28.000	0.25	25.0	88	BPNJPA_04755 biosynthetic-type acetolactate synthase large subunit	388	437	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	61.538	0.78	20.8	87	BPNJPA_03315 Peptidase C39-like domain-containing protein	1	13	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	61.538	0.78	20.8	87	BPNJPA_03315 Peptidase C39-like domain-containing protein	1	13	transporter
gnl|TC-DB|Q9NJC6|1.C.47.3.2	1.C.47.3.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9NJC6|1.C.47.3.2	28.571	0.27	26.2	86	BPNJPA_08780 histidine kinase	26	92	transporter
gnl|TC-DB|Q9HC98|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9HC98|1.I.1.1.3	27.309	2.68e-24	99.8	80	BPNJPA_04375 Stk1 family PASTA domain-containing Ser/Thr kinase	12	256	transporter
gnl|TC-DB|Q7KSC4|2.A.105.1.3	2.A.105.1.3	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q7KSC4|2.A.105.1.3	22.430	2.3	23.9	97	BPNJPA_02185 DNA polymerase III subunit alpha	147	249	transporter
gnl|TC-DB|A0CVJ5|2.A.105.1.5	2.A.105.1.5	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|A0CVJ5|2.A.105.1.5	23.529	0.78	25.4	86	BPNJPA_10245 Flavo-diiron protein FprA1	181	276	transporter
gnl|TC-DB|Q4N4U8|2.A.105.1.6	2.A.105.1.6	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q4N4U8|2.A.105.1.6	25.676	0.17	26.9	76	BPNJPA_08860 HTH-type transcriptional repressor of iron proteins A	44	109	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	40.678	3.18e-34	116	91	BPNJPA_15540 Putative manganese efflux pump MntP	1	171	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	40.936	1.53e-37	125	91	BPNJPA_15540 Putative manganese efflux pump MntP	1	171	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	28.659	7.32e-11	55.1	85	BPNJPA_15540 Putative manganese efflux pump MntP	13	174	transporter
gnl|TC-DB|WP_089030044.1|2.A.107.1.5	2.A.107.1.5	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_089030044.1|2.A.107.1.5	29.697	2.88e-13	61.6	85	BPNJPA_15540 Putative manganese efflux pump MntP	13	174	transporter
gnl|TC-DB|Q03YV5|2.A.11.2.1	2.A.11.2.1	gluconate	EX_cpd00222_e0	rxn05571,rxn08609,rxn12363	gnl|TC-DB|Q03YV5|2.A.11.2.1	35.541	2.71e-80	251	99	BPNJPA_06290 Citrate transporter	4	450	transporter
gnl|TC-DB|U2LY02|2.A.11.2.2	2.A.11.2.2	Citrate	EX_cpd00137_e0	rxn05211,rxn12371,rxn12792,rxn30467	gnl|TC-DB|U2LY02|2.A.11.2.2	39.558	2.12e-85	264	95	BPNJPA_04995 Transporter	9	408	transporter
