# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
UDPGLUCEPIM-RXN	UDP-galactose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	1.02e-156	440	99	OCPOBL_00015	37	372	|PWY-3821|	good_blast	NA	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
RXN-7771	GDP-D-mannose:GDP-L-gulose epimerase	5.1.3.18	NA	UniRef50_A0A539CVC6	25.22	1.45e-16	75.9	92	OCPOBL_00015	39	364	|PWY4FS-11|	bad_blast	NA	rxn00643 rxn07487 	NA	0	NA
RXN-7772	GDP-D-mannose:GDP-L-galactose epimerase	5.1.3.18	NA	UniRef50_A0A539CVC6	25.22	1.45e-16	75.9	92	OCPOBL_00015	39	364	|PWY4FS-12|	bad_blast	NA	rxn00643 rxn07487 	NA	0	NA
RXN-7772	GDP-D-mannose:GDP-L-galactose epimerase	5.1.3.18	NA	UniRef50_A0A539CVC6	25.22	1.45e-16	75.9	92	OCPOBL_00015	39	364	|PWY4FS-13|	bad_blast	NA	rxn00643 rxn07487 	NA	0	NA
RXN-7772	GDP-D-mannose:GDP-L-galactose epimerase	5.1.3.18	NA	UniRef50_A0A539CVC6	25.22	1.45e-16	75.9	92	OCPOBL_00015	39	364	|PWY-5115|	bad_blast	NA	rxn00643 rxn07487 	NA	0	NA
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	UDP-N-acetyl-glucosamine 4-epimerase	5.1.3.7	NA	sp|P55180|GALE_BACSU	64.118	2.3500000000000003e-163	457	100	OCPOBL_00015	37	376	|PWY-5512|	good_blast	full	rxn00295 	NA	0	1
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	UDP-N-acetylglucosamine 4'-epimerase	5.1.3.7	NA	sp|P55180|GALE_BACSU	64.118	2.3500000000000003e-163	457	100	OCPOBL_00015	37	376	|PWY-5514|	good_blast	keyenzyme	rxn00295 	NA	0	1
GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN	GDP-4-keto-6-deoxy-D-mannose reductase	1.1.1.187/1.1.1.135	NA	UniRef90_Q9JRN7	25.697	4.37e-12	62	93	OCPOBL_00015	37	352	|PWY-5738|	bad_blast	NA	rxn02437 rxn02439 rxn19768 	NA	0	NA
RXN-8955	GDP-L-colitose synthase	1.1.1.356	NA	UniRef90_G4WJD3	19.52	4.08e-08	50.1	97	OCPOBL_00015	37	364	|PWY-5740|	bad_blast	NA	 	NA	0	NA
RXN-9158	CDP-abequose synthase	1.1.1.341	NA	UniRef90_Q00329	23.457	1.62e-05	42	95	OCPOBL_00015	38	356	|PWY-5831|	bad_blast	NA	 	NA	0	NA
UDPGLUCEPIM-RXN	UDP-glucose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	1.02e-156	440	99	OCPOBL_00015	37	372	|PWY-6317|	good_blast	NA	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
UDPGLUCEPIM-RXN	UDP-galactose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	1.02e-156	440	99	OCPOBL_00015	37	372	|PWY-6397|	good_blast	NA	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
UDP-ARABINOSE-4-EPIMERASE-RXN	UDP-D-xylose 4-epimerase	5.1.3.5	NA	UniRef50_Q59745	40.181	2.42e-77	238	97	OCPOBL_00015	39	366	|PWY-63|	good_blast	full	rxn01075 rxn27405 	NA	0	1
UDPGLUCEPIM-RXN	UDPGLUCEPIM-RXN	5.1.3.2	NA	UniRef90_P24325	62.5	1.02e-156	440	99	OCPOBL_00015	37	372	|PWY-6527|	good_blast	NA	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
FCLEPIM-RXN	GDP-4-keto-6-deoxymannose-3,5-epimerase-4-reductase	1.1.1.271	NA	UniRef90_P33217	23.63	1.19e-09	54.7	81	OCPOBL_00015	38	317	|PWY-66|	bad_blast	NA	rxn03962 rxn04865 rxn04866 rxn16880 rxn32399 	NA	0	NA
RXN-14572	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-7290|	good_blast	NA	 	NA	0	1
RXN-14532	dTDP-4-dehydro-6-deoxyglucose reductase	1.1.1.266	NA	UniRef90_Q6E7F2	24.845	2.73e-12	62.8	94	OCPOBL_00015	39	356	|PWY-7312|	bad_blast	NA	rxn03957 	NA	0	NA
UDPGLUCEPIM-RXN	UDP-glucose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	1.02e-156	440	99	OCPOBL_00015	37	372	|PWY-7344|	good_blast	full	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-7530|	good_blast	NA	 	NA	0	1
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	UDP-N-acetyl-glucosamine 4-epimerase	5.1.3.7	NA	sp|P55180|GALE_BACSU	64.118	2.3500000000000003e-163	457	100	OCPOBL_00015	37	376	|PWY-7820|	good_blast	NA	rxn00295 	NA	0	1
RXN-18068	UDP-N-acetyl-alpha-D-glucosamine 5,6-dehydratase	NA	NA	tr|E5KJ94|E5KJ94_STRCX	26.73	2.98e-23	95.1	87	OCPOBL_00015	34	347	|PWY-7821|	bad_blast	NA	 	NA	0	NA
RXN-21377	CDP-6-deoxy-alpha-D-gulose dehydrogenase	NA	NA	tr|Q56863|Q56863_YEREN	23.077	6.87e-13	64.3	98	OCPOBL_00015	37	356	|PWY-8139|	bad_blast	NA	 	NA	0	NA
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8206|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8217|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8219|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8220|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8222|	good_blast	NA	 	NA	0	1
RXN-14572	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8224|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8231|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8232|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8233|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8234|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8235|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8236|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8241|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	1.08e-126	364	99	OCPOBL_00015	37	372	|PWY-8242|	good_blast	NA	 	NA	0	1
RXN-7772	GDP-D-mannose:GDP-L-galactose epimerase	5.1.3.18	NA	UniRef50_A0A539CVC6	25.22	1.45e-16	75.9	92	OCPOBL_00015	39	364	|PWY-882|	bad_blast	NA	rxn00643 rxn07487 	NA	0	NA
RXN-1223	UDP-sulfoquinovose synthase	3.13.1.1	NA	UniRef50_B6BR39	23.684	1.1e-14	70.1	91	OCPOBL_00015	34	363	|PWYQT-4427|	bad_blast	NA	rxn04027 	NA	0	NA
DIPHTINE--AMMONIA-LIGASE-RXN	diphthine-ammonia ligase	6.3.1.14/6.3.2.22	NA	UniRef50_A0A943HPF2	21.635	1.3	26.2	95	OCPOBL_00025	415	597	|PWY-6482|	bad_blast	NA	rxn06425 rxn19570 	NA	0	NA
DIPHTINE--AMMONIA-LIGASE-RXN	diphthine-ammonia ligase	6.3.1.14/6.3.2.22	NA	UniRef50_A0A943HPF2	21.635	1.3	26.2	95	OCPOBL_00025	415	597	|PWY-7546|	bad_blast	NA	rxn06425 rxn19570 	NA	0	NA
2-OXOGLUTARATE-SYNTHASE-RXN	2-OXOGLUTARATE-SYNTHASE-RXN	1.2.7.3/1.2.7.9	NA	tr|O25312|O25312_HELPY	21.561	2.7	25.4	91	OCPOBL_00030	182	401	|P23-PWY|	bad_blast	NA	rxn14048 rxn17399 rxn31312 	Subunit 2	0	NA
2-OXOGLUTARATE-SYNTHASE-RXN	2-oxoglutarate synthase	1.2.7.3/1.2.7.9	NA	tr|O25312|O25312_HELPY	21.561	2.7	25.4	91	OCPOBL_00030	182	401	|P42-PWY|	bad_blast	NA	rxn14048 rxn17399 rxn31312 	Subunit 2	0	NA
2-OXOGLUTARATE-SYNTHASE-RXN	2-oxoglutarate:ferredoxin oxidoreductase	1.2.7.3/1.2.7.9	NA	tr|O25312|O25312_HELPY	21.561	2.7	25.4	91	OCPOBL_00030	182	401	|PWY-5392|	bad_blast	NA	rxn14048 rxn17399 rxn31312 	Subunit 2	0	NA
2-OXOGLUTARATE-SYNTHASE-RXN	2-oxoglutarate:ferredoxin oxidoreductase	1.2.7.3/1.2.7.9	NA	tr|O25312|O25312_HELPY	21.561	2.7	25.4	91	OCPOBL_00030	182	401	|PWY-6969|	bad_blast	NA	rxn14048 rxn17399 rxn31312 	Subunit 2	0	NA
2-OXOGLUTARATE-SYNTHASE-RXN	2-OXOGLUTARATE-SYNTHASE-RXN	1.2.7.3/1.2.7.9	NA	tr|O25312|O25312_HELPY	21.561	2.7	25.4	91	OCPOBL_00030	182	401	|PWY-7254|	bad_blast	keyenzyme	rxn14048 rxn17399 rxn31312 	Subunit 2	0	NA
2-OXOGLUTARATE-SYNTHASE-RXN	2-oxoglutarate:acceptor oxidoreductase	1.2.7.3/1.2.7.9	NA	tr|O25312|O25312_HELPY	21.561	2.7	25.4	91	OCPOBL_00030	182	401	|REDCITCYC|	bad_blast	NA	rxn14048 rxn17399 rxn31312 	Subunit 2	0	NA
RXN-17357	carbon monoxide dehydrogenase	1.2.5.3	NA	UniRef90_P19917	40	7.6	17.7	100	OCPOBL_00035	42	56	|PWY-7750|	bad_blast	NA	 	Subunit 2	0	NA
GLUCOKIN-RXN	glucokinase	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|ANAGLYCOLYSIS-PWY|	good_blast	threshold	rxn00216 rxn01169 rxn15249 	NA	0	1
GLUCOKIN-RXN	glucokinase	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|GLUCOSE1PMETAB-PWY|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
GLUCOKIN-RXN	glucokinase	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|GLYCOCAT-PWY|	good_blast	threshold	rxn00216 rxn01169 rxn15249 	NA	0	1
GLUCOKIN-RXN	GLU6PDEHYDROG-RXN	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|P122-PWY|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
GLUCOKIN-RXN	GLUCOKIN-RXN	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|P124-PWY|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
GLUCOKIN-RXN	glucokinase	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|PWY0-1182|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
NANK-RXN	N-acetylmannosamine kinase	2.7.1.60	NA	UniRef90_Q4QP43	27.097	9.75e-20	84	95	OCPOBL_00040	5	311	|PWY0-1324|	bad_blast	NA	rxn01951 rxn06206 rxn20233 rxn20272 	NA	0	NA
ALLOSE-KINASE-RXN	D-allose kinase	2.7.1.55	NA	UniRef90_P32718	28.938	5.66e-17	76.3	79	OCPOBL_00040	2	265	|PWY0-44|	bad_blast	NA	rxn02552 	NA	0	NA
GLUCOKIN-RXN	GLUCOKIN-RXN	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|PWY-2722|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
GLUCOKIN-RXN	GLUCOKIN-RXN	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|PWY-2723|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
MANNKIN-RXN	hexokinase	2.7.1.7	NA	tr|Q5GBH5|Q5GBH5_BACFG	34.365	1.49e-48	161	95	OCPOBL_00040	2	310	|PWY-3861|	bad_blast	NA	rxn00975 rxn20176 	NA	0	NA
MANNKIN-RXN	mannokinase	2.7.1.7	NA	tr|Q5GBH5|Q5GBH5_BACFG	34.365	1.49e-48	161	95	OCPOBL_00040	2	310	|PWY3O-1743|	bad_blast	NA	rxn00975 rxn20176 	NA	0	NA
GLUCOKIN-RXN	glucokinase	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|PWY-5514|	good_blast	keyenzyme	rxn00216 rxn01169 rxn15249 	NA	0	1
GLUCOKIN-RXN	D-glucopyranose 6-kinase	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|PWY-5661|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
RXN-9144	valienone kinase	2.7.1.214	NA	UniRef90_Q3T6E2	26.48	8.22e-12	61.2	88	OCPOBL_00040	9	301	|PWY-5818|	bad_blast	NA	 	NA	0	NA
GLUCOKIN-RXN	glucokinase	2.7.1.1/2.7.1.2	NA	UniRef90_P54495	38.762	3.35e-69	214	95	OCPOBL_00040	4	308	|PWY-5941|	good_blast	NA	rxn00216 rxn01169 rxn15249 	NA	0	1
RXN-9581	kanosamine 6-kinase	2.7.1.179	NA	UniRef90_G0FS68	29.368	4.3e-16	73.6	81	OCPOBL_00040	4	266	|PWY-5979|	bad_blast	NA	 	NA	0	NA
NANK-RXN	N-acetylmannosamine kinase	2.7.1.60	NA	UniRef90_Q4QP43	27.097	9.75e-20	84	95	OCPOBL_00040	5	311	|PWY-6138|	bad_blast	NA	rxn01951 rxn06206 rxn20233 rxn20272 	NA	0	NA
MANNKIN-RXN	MANNKIN-RXN	2.7.1.7	NA	tr|Q5GBH5|Q5GBH5_BACFG	34.365	1.49e-48	161	95	OCPOBL_00040	2	310	|PWY-6140|	bad_blast	NA	rxn00975 rxn20176 	NA	0	NA
