# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
LACTOSE6P-HYDROXY-RXN	6-phospho-lactosidase	3.2.1.85	NA	UniRef90_P11546	34.774	8.89e-59	209	98	KMAKEL_00035	274	731	|LACTOSECAT-PWY|	good_blast	threshold	rxn02332 rxn06349 rxn07047 rxn18993 	NA	0	1
3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-dehydroquinate dehydratase	4.2.1.10	NA	UniRef90_P24670	44.8	6.390000000000001e-72	228	99	KMAKEL_00140	1	250	|PWY-6163|	good_blast	threshold	rxn02213 	NA	0	1
3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-dehydroquinate dehydratase	4.2.1.10	NA	UniRef90_P24670	44.8	6.390000000000001e-72	228	99	KMAKEL_00140	1	250	|PWY-6416|	good_blast	NA	rxn02213 	NA	0	1
3-DEHYDROQUINATE-DEHYDRATASE-RXN	3-dehydroquinate dehydratase	4.2.1.10	NA	UniRef90_P24670	44.8	6.390000000000001e-72	228	99	KMAKEL_00140	1	250	|PWY-6707|	good_blast	NA	rxn02213 	NA	0	1
3-DEHYDROQUINATE-DEHYDRATASE-RXN	dehydroquinate dehydratase	4.2.1.10	NA	UniRef90_P24670	44.8	6.390000000000001e-72	228	99	KMAKEL_00140	1	250	|QUINATEDEG-PWY|	good_blast	NA	rxn02213 	NA	0	1
RXN-17940	tRNA ligase	NA	NA	UniRef90_A3DKB6	55.721	0	982	99	KMAKEL_00190	1	874	|PWY-6689|	good_blast	threshold	 	Subunit undefined	0	1
ALANINE--TRNA-LIGASE-RXN	alanine-tRNA ligase	6.1.1.7	NA	UniRef90_A0Q151	53.226	0	931	99	KMAKEL_00190	1	868	|TRNA-CHARGING-PWY|	good_blast	full	rxn06300 rxn19082 rxn27696 rxn38027 	NA	0	1
RXN-17941	tRNA ligase	NA	NA	UniRef90_A3DDC9	58.272	0	523	99	KMAKEL_00195	67	470	|PWY-6689|	good_blast	threshold	 	Subunit undefined	0	1
TYROSINE--TRNA-LIGASE-RXN	tyrosine-tRNA ligase	6.1.1.1	NA	UniRef90_A5I748	61.029	0	541	99	KMAKEL_00195	67	471	|TRNA-CHARGING-PWY|	good_blast	full	rxn06280 rxn27399 rxn38819 	NA	0	1
PHOSPHAGLYPSYN-RXN	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	2.7.8.5	NA	UniRef90_P46322	45.405	8.999999999999999e-42	141	95	KMAKEL_00230	2	173	|PWY0-1545|	bad_blast	NA	rxn06045 rxn09108 rxn09109 rxn09110 rxn09111 rxn09112 rxn09113 rxn09114 rxn10259 rxn10260 rxn10261 rxn10262 rxn10263 rxn10264 rxn10949 rxn20547 rxn20553 rxn28070 rxn28975 rxn30221 rxn33925 rxn33926 rxn36951 rxn38259 	NA	0	NA
PHOSPHAGLYPSYN-RXN	CDP-diacylglycerol glycerol-3-phosphate 3-phosphatidyltransferase	2.7.8.5	NA	UniRef90_P46322	45.405	8.999999999999999e-42	141	95	KMAKEL_00230	2	173	|PWY-5269|	bad_blast	NA	rxn06045 rxn09108 rxn09109 rxn09110 rxn09111 rxn09112 rxn09113 rxn09114 rxn10259 rxn10260 rxn10261 rxn10262 rxn10263 rxn10264 rxn10949 rxn20547 rxn20553 rxn28070 rxn28975 rxn30221 rxn33925 rxn33926 rxn36951 rxn38259 	NA	0	NA
PHOSPHAGLYPSYN-RXN	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	2.7.8.5	NA	UniRef90_P46322	45.405	8.999999999999999e-42	141	95	KMAKEL_00230	2	173	|PWY-5668|	bad_blast	NA	rxn06045 rxn09108 rxn09109 rxn09110 rxn09111 rxn09112 rxn09113 rxn09114 rxn10259 rxn10260 rxn10261 rxn10262 rxn10263 rxn10264 rxn10949 rxn20547 rxn20553 rxn28070 rxn28975 rxn30221 rxn33925 rxn33926 rxn36951 rxn38259 	NA	0	NA
