# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DARABKIN-RXN	D-ribulokinase	2.7.1.51	NA	UniRef50_A0A2R2WB83	52.581	0	538	95	BPNJPA_00220	24	546	|DARABCATK12-PWY|	good_blast	full	rxn02319 	NA	0	1
FUCULOKIN-RXN	L-fuculokinase	2.7.1.51	NA	UniRef50_A0A2R2WB83	52.581	0	538	95	BPNJPA_00220	24	546	|FUCCAT-PWY|	good_blast	full	rxn02319 	NA	0	1
D-LACTALDEHYDE-DEHYDROGENASE-RXN	methylglyoxal reductase	1.1.1.78	NA	UniRef90_O32210	43.846	2.9099999999999997e-67	213	93	BPNJPA_00280	6	261	|MGLDLCTANA-PWY|	good_blast	full	rxn01831 	NA	0	1
RXN0-4281	methylglyoxal reductase	1.1.1.21/1.1.1.139	NA	UniRef50_A0A650LQD1	43.629	7.27e-69	217	92	BPNJPA_00280	9	264	|PWY-5453|	good_blast	full	rxn00763 rxn00765 rxn00809 rxn00811 rxn01043 rxn01290 rxn01291 rxn01310 rxn01831 rxn01835 rxn01879 rxn06252 rxn06253 rxn11551 rxn11552 rxn15122 rxn15123 rxn15126 rxn15127 rxn15189 rxn15190 rxn15238 rxn15239 rxn15240 rxn15241 rxn15341 rxn15345 rxn15346 rxn19120 rxn22376 rxn25135 rxn37662 rxn37663 rxn37664 rxn37665 rxn37666 	NA	0	1
1.1.1.283-RXN	NADPH-dependent methylglyoxal reductase	1.1.1.283	NA	UniRef90_O32210	43.846	2.9099999999999997e-67	213	93	BPNJPA_00280	6	261	|PWY-5458|	good_blast	full	rxn01618 rxn04937 rxn15660 rxn16883 	NA	0	1
RXN-8772	L-arabinose reductase	1.1.1.21/1.1.1.139	NA	UniRef50_A0A650LQD1	43.629	7.27e-69	217	92	BPNJPA_00280	9	264	|PWY-5515|	good_blast	full	rxn00763 rxn00765 rxn00809 rxn00811 rxn01043 rxn01290 rxn01291 rxn01310 rxn01831 rxn01835 rxn01879 rxn06252 rxn06253 rxn11551 rxn11552 rxn15122 rxn15123 rxn15126 rxn15127 rxn15189 rxn15190 rxn15238 rxn15239 rxn15240 rxn15241 rxn15341 rxn15345 rxn15346 rxn19120 rxn22376 rxn25135 rxn37662 rxn37663 rxn37664 rxn37665 rxn37666 	NA	0	1
1.1.1.64-RXN	androstenedione 17beta-reductase	1.1.1.64	NA	UniRef50_A0A173WAK5	48.062	5.78e-84	256	90	BPNJPA_00280	9	264	|PWY66-378|	good_blast	NA	rxn01338 	NA	0	1
RXN-12078	D-galactose reductase	1.1.1.21/1.1.1.139	NA	UniRef50_A0A650LQD1	43.629	7.27e-69	217	92	BPNJPA_00280	9	264	|PWY-6693|	good_blast	NA	rxn00763 rxn00765 rxn00809 rxn00811 rxn01043 rxn01290 rxn01291 rxn01310 rxn01831 rxn01835 rxn01879 rxn06252 rxn06253 rxn11551 rxn11552 rxn15122 rxn15123 rxn15126 rxn15127 rxn15189 rxn15190 rxn15238 rxn15239 rxn15240 rxn15241 rxn15341 rxn15345 rxn15346 rxn19120 rxn22376 rxn25135 rxn37662 rxn37663 rxn37664 rxn37665 rxn37666 	NA	0	1
RXN0-4281	methylglyoxal reductase	1.1.1.21/1.1.1.139	NA	UniRef50_A0A650LQD1	43.629	7.27e-69	217	92	BPNJPA_00280	9	264	|PWY-6786|	good_blast	NA	rxn00763 rxn00765 rxn00809 rxn00811 rxn01043 rxn01290 rxn01291 rxn01310 rxn01831 rxn01835 rxn01879 rxn06252 rxn06253 rxn11551 rxn11552 rxn15122 rxn15123 rxn15126 rxn15127 rxn15189 rxn15190 rxn15238 rxn15239 rxn15240 rxn15241 rxn15341 rxn15345 rxn15346 rxn19120 rxn22376 rxn25135 rxn37662 rxn37663 rxn37664 rxn37665 rxn37666 	NA	0	1
RXN-21978	androsteone 17beta-reductase	1.1.1.64	NA	UniRef50_A0A173WAK5	48.062	5.78e-84	256	90	BPNJPA_00280	9	264	|PWY-8200|	good_blast	NA	rxn01338 	NA	0	1
