# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q8QN67|1.A.1.12.3	1.A.1.12.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8QN67|1.A.1.12.3	26.0	6.1	23.5	79	KMAKEL_19610	150	221	transporter
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	31.395	0.31	26.6	90	KMAKEL_07940	13	84	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	20.074	0.038	32.7	76	KMAKEL_15360	204	452	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	27.481	4.19e-20	84.0	93	KMAKEL_16000	6	257	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	24.783	6.48e-12	61.2	79	KMAKEL_20910	9	229	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	32.143	7.8	21.6	82	KMAKEL_00370	3	58	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	32.143	7.8	21.6	82	KMAKEL_00370	3	58	transporter
gnl|TC-DB|Q93R25|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q93R25|1.A.30.1.2	23.81	3.3	25.4	87	KMAKEL_16310	233	404	transporter
gnl|TC-DB|P39064|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39064|1.A.30.1.4	23.42	2.74e-05	41.2	85	KMAKEL_16225	17	279	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	27.941	2.1	23.5	84	KMAKEL_13725	307	363	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	27.941	2.1	23.5	84	KMAKEL_13725	307	363	transporter
gnl|TC-DB|C7CD71|1.A.43.1.18	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|C7CD71|1.A.43.1.18	41.414	1.98e-16	67.0	81	KMAKEL_11005	2	100	transporter
gnl|TC-DB|P26678|1.A.50.1.1	1.A.50.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P26678|1.A.50.1.1	26.667	0.029	27.7	87	KMAKEL_15460	4	48	transporter
