# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-11564	carboxyspermidine decarboxylase	NA	NA	UniRef90_U2WT54	57.477	3.0100000000000003e-65	218	85	BCPNCO_00030	12	224	PWY-6559-2	good_blast	full	 	NA	0	1
RXN0-2161	L-serine:tRNASec ligase (AMP-forming)	6.1.1.11	NA	UniRef90_O66647	45.39	1.99e-124	370	99	BCPNCO_00110	1	420	|PWY0-901|	good_blast	full	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
RXN0-2161	seryl-tRNAsec synthetase	6.1.1.11	NA	UniRef90_O66647	45.39	1.99e-124	370	99	BCPNCO_00110	1	420	|PWY-6281|	good_blast	NA	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
RXN-17940	tRNA ligase	NA	NA	UniRef90_A5D6D5	45.238	2.3200000000000002e-125	372	99	BCPNCO_00110	1	418	|PWY-6689|	good_blast	threshold	 	Subunit undefined	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11	NA	UniRef90_O66647	45.39	1.99e-124	370	99	BCPNCO_00110	1	420	|TRNA-CHARGING-PWY|	good_blast	full	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
RXN0-2161	L-serine:tRNASec ligase (AMP-forming)	6.1.1.11	NA	UniRef90_B0KAI8	69.412	0	613	99	BCPNCO_00130	28	452	|PWY0-901|	good_blast	full	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
RXN0-2161	seryl-tRNAsec synthetase	6.1.1.11	NA	UniRef90_B0KAI8	69.412	0	613	99	BCPNCO_00130	28	452	|PWY-6281|	good_blast	NA	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
RXN-17940	tRNA ligase	NA	NA	UniRef90_A3DI04	70.118	0	633	100	BCPNCO_00130	28	452	|PWY-6689|	good_blast	threshold	 	Subunit undefined	0	1
SERINE--TRNA-LIGASE-RXN	L-serine:tRNASer ligase (AMP-forming)	6.1.1.11	NA	UniRef90_B0KAI8	69.412	0	613	99	BCPNCO_00130	28	452	|TRNA-CHARGING-PWY|	good_blast	full	rxn06446 rxn09249 rxn11747 rxn26009 rxn27105 rxn31730 rxn38524 rxn38707 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate-semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|DAPLYSINESYN-PWY|	good_blast	NA	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate-semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|HOMOSERSYN-PWY|	good_blast	full	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate-semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|P101-PWY|	good_blast	NA	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|PWY-2941|	good_blast	full	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|PWY-2942|	good_blast	full	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|PWY-5097|	good_blast	full	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate-semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|PWY-6160|	good_blast	threshold	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate-beta-semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|PWY-6559|	good_blast	NA	rxn01643 rxn33374 rxn33956 	NA	0	1
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	aspartate-beta-semialdehyde dehydrogenase	1.2.1.11	NA	UniRef90_P41394	44.199	1.62e-91	280	99	BCPNCO_00135	1	361	|PWY-6562|	good_blast	NA	rxn01643 rxn33374 rxn33956 	NA	0	1
