# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA	UniRef90_P59336	23.922	6.76e-04	36.6	83	KDHFCO_09025 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold	11	234	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA	UniRef90_Q09053	43.750	4.1	18.5	89	KDHFCO_06715 3-isopropylmalate dehydratase large subunit	278	293	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	NA
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	NA	UniRef90_Q01399	27.500	2.79e-19	79.3	88	KDHFCO_01330 haloacid dehalogenase type II	4	198	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA	sp|O24679|TECA4_CUPXP	24.528	4.12e-18	82.4	75	KDHFCO_09190 Rhodanese-related sulfurtransferase	1	313	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	NA
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA	UniRef90_O69264	30.337	1.96e-24	94.7	94	KDHFCO_09250 3-oxoacyl-[acyl-carrier-protein] reductase	1	243	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04647 rxn04672 rxn25894 rxn25907 	NA	0	NA
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase		NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	 	NA	0	NA
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	NA
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	NA
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	NA	tr|C1I208|C1I208_PSEWB	21.381	9.47e-05	40.4	85	KDHFCO_04640 glutamate-5-semialdehyde dehydrogenase	11	400	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	NA
