# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882 	NA	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 1	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	Subunit 2	0	NA
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	NA									|12DICHLORETHDEG-PWY|	no_blast	NA	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811 	NA	0	NA
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	29.806	2.28e-50	177	89	OCPOBL_13455 Methylmalonate semialdehyde dehydrogenase [acylating]	12	462	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	NA	UniRef90_Q01399	23.301	5.39e-09	52.0	88	OCPOBL_10025 Phosphorylated carbohydrates phosphatase	1	189	|12DICHLORETHDEG-PWY|	bad_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 1	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit 2	0	NA
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	NA	sp|O24679|TECA4_CUPXP	25.758	0.001	38.1	75	OCPOBL_18810 NADPH-dependent glutamate synthase beta subunit-like oxidoreductase	175	478	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04646 rxn04671 rxn25893 rxn25906 	Subunit undefined	0	NA
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA	UniRef90_O69264	28.409	5.39e-21	86.7	93	OCPOBL_03325 3-oxoacyl-[acyl-carrier-protein] reductase	2	246	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn04647 rxn04672 rxn25894 rxn25907 	NA	0	NA
