# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	38.873	4.21e-166	490	99	BCPNCO_11020 flagellar biosynthesis protein FlhA	6	689	transporter
gnl|TC-DB|Q6U8D0|1.A.1.14.3	1.A.1.14.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6U8D0|1.A.1.14.3	24.336	0.042	31.6	76	BCPNCO_06905 Potassium channel subunit	42	256	transporter
gnl|TC-DB|J8TM36|1.A.1.14.8	1.A.1.14.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|J8TM36|1.A.1.14.8	22.400	0.019	32.7	86	BCPNCO_06905 Potassium channel subunit	18	256	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.203	3.57e-35	124	90	BCPNCO_15290 Short-chain dehydrogenase	3	233	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	25.641	1.71e-11	60.5	79	BCPNCO_07425 NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	59	276	transporter
gnl|TC-DB|Q9YDF8|1.A.1.17.1	1.A.1.17.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9YDF8|1.A.1.17.1	28.077	2.54e-30	112	85	BCPNCO_06905 Potassium channel subunit	10	256	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	36.139	5.63e-31	112	75	BCPNCO_06905 Potassium channel subunit	48	244	transporter
gnl|TC-DB|WP_048042267.1|1.A.1.21.3	1.A.1.21.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|WP_048042267.1|1.A.1.21.3	23.134	3.5	24.3	86	BCPNCO_11485 Cation-transporting P-type ATPase	108	221	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	34.553	1.01e-41	140	96	BCPNCO_01745 Flagellar motor component MotA	8	247	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	35.878	3.05e-49	160	94	BCPNCO_09515 flagellar motor stator protein MotA	1	257	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	32.819	4.08e-41	139	100	BCPNCO_09515 flagellar motor stator protein MotA	1	259	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	28.302	1.63e-25	99.4	84	BCPNCO_01750 Flagellar motor protein MotB	1	245	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	33.333	3.7	22.7	85	BCPNCO_07350 PTS system beta-glucoside-specific EIIBCA component	441	520	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	33.333	3.7	22.7	85	BCPNCO_07350 PTS system beta-glucoside-specific EIIBCA component	441	520	transporter
gnl|TC-DB|C7CD71|1.A.43.1.18	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|C7CD71|1.A.43.1.18	37.113	3.19e-16	66.2	79	BCPNCO_08225 fluoride efflux transporter CrcB	1	93	transporter
gnl|TC-DB|Q5QRI8|1.A.53.1.1	1.A.53.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q5QRI8|1.A.53.1.1	31.373	2.4	22.7	78	BCPNCO_18090 GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	101	147	transporter
gnl|TC-DB|P03493|1.A.58.1.1	1.A.58.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P03493|1.A.58.1.1	26.667	2.0	24.3	75	BCPNCO_17560 Alpha-L-arabinofuranosidase	191	278	transporter
gnl|TC-DB|Q41951|1.A.8.10.10	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q41951|1.A.8.10.10	24.255	7.51e-09	51.6	86	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	10	242	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	25.726	9.09e-07	45.4	87	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	8	242	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	24.268	7.25e-08	48.5	86	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	10	242	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	29.921	1.16e-24	96.3	89	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	4	241	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	29.412	4.31e-18	78.2	76	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	8	239	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	32.941	1.97e-27	102	98	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	239	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	30.159	4.42e-23	90.9	97	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	4	239	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	31.602	2.00e-15	69.7	95	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	8	236	transporter
gnl|TC-DB|P18156|1.A.8.2.1	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P18156|1.A.8.2.1	53.478	4.80e-75	226	84	BCPNCO_06915 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	229	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	39.300	2.57e-51	165	95	BCPNCO_06915 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	232	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	45.675	1.24e-81	243	99	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	242	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	28.395	4.98e-20	82.8	93	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	9	233	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	41.463	3.06e-46	150	85	BCPNCO_06915 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	26	226	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	43.627	3.11e-56	176	86	BCPNCO_06915 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	27	226	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	48.165	1.64e-65	200	89	BCPNCO_06915 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	21	232	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	50.204	3.74e-85	251	98	BCPNCO_04105 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	4	242	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	38.863	9.53e-44	144	86	BCPNCO_06915 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	26	233	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	43.805	9.70e-60	186	91	BCPNCO_06915 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	21	232	transporter
