# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
1.12.1.3-RXN	NADP-dependent hydrogenase	1.12.1.3	NA	UniRef90_Q46508	50.508	0	564	99	EGBHEG_00090	1	583	|PWY-6512|	good_blast	NA	rxn07200 	Subunit HndD	0	NA
RXN-12215	hydrogenase	1.12.1.4	NA	sp|O52683|HYDA_THEMA	41.638	4.49e-122	383	85	EGBHEG_00090	2	583	|PWY-6744|	good_blast	full	rxn16350 rxn22535 	Subunit 1	0	1
HYDROG-RXN	hydrogenase	1.12.7.2	NA	UniRef90_P07598	48.564	1.4e-108	339	86	EGBHEG_00090	145	524	|PWY-6759|	good_blast	NA	rxn05759 rxn08734 rxn08735 rxn08736 rxn19908 rxn90057 	Subunit 3	0	NA
1.12.1.3-RXN	hydrogenase	1.12.1.3	NA	UniRef90_Q46508	50.508	0	564	99	EGBHEG_00090	1	583	|PWY-6765|	good_blast	NA	rxn07200 	Subunit HndD	0	NA
HYDROG-RXN	hydrogenase	1.12.7.2	NA	UniRef90_P07598	48.564	1.4e-108	339	86	EGBHEG_00090	145	524	|PWY-6780|	good_blast	NA	rxn05759 rxn08734 rxn08735 rxn08736 rxn19908 rxn90057 	Subunit 3	0	NA
HYDROG-RXN	hydrogenase	1.12.7.2	NA	UniRef90_P07598	48.564	1.4e-108	339	86	EGBHEG_00090	145	524	|PWY-6785|	good_blast	NA	rxn05759 rxn08734 rxn08735 rxn08736 rxn19908 rxn90057 	Subunit 3	0	NA
RXN-18520	ferredoxin:CoB-CoM heterodisulfide reductase	1.8.7.3	NA	UniRef50_A0A916BN29	24.528	0.11	29.3	77	EGBHEG_00090	137	270	|PWY-7865|	bad_blast	NA	rxn43778 	Subunit undefined	0	NA
RXN-18528	coenzyme F420:CoB-CoM heterosulfide,ferredoxin reductase	1.8.98.4	NA	UniRef50_A0A916BN29	24.528	0.11	29.3	77	EGBHEG_00090	137	270	|PWY-7866|	bad_blast	NA	rxn43076 	Subunit undefined	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA	UniRef50_A0A916BN29	24.528	0.11	29.3	77	EGBHEG_00090	137	270	|PWY-7867|	bad_blast	NA	rxn42401 	Subunit undefined	0	NA
RXN-18529	formate:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.6	NA	UniRef50_A0A916BN29	24.528	0.11	29.3	77	EGBHEG_00090	137	270	|PWY-7868|	bad_blast	NA	rxn47799 	Subunit undefined	0	NA
CYTOCHROME-C3-HYDROGENASE-RXN	periplasmic [NiFe] hydrogenase 1	1.12.2.1	NA	sp|P07598|PHFL_NITV2	48.564	1.4e-108	339	86	EGBHEG_00090	145	524	|PWY-8377|	good_blast	NA	rxn06557 rxn19361 	Subunit 3	0	NA
