# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
UDPGLUCEPIM-RXN	UDP-galactose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	2.3e-154	440	99	OCPOBL_00015	37	372	|PWY-3821|	good_blast	full	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
UDPGLUCEPIM-RXN	UDP-glucose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	2.3e-154	440	99	OCPOBL_00015	37	372	|PWY-6317|	good_blast	full	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
UDPGLUCEPIM-RXN	UDP-galactose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	2.3e-154	440	99	OCPOBL_00015	37	372	|PWY-6397|	good_blast	NA	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
UDP-ARABINOSE-4-EPIMERASE-RXN	UDP-D-xylose 4-epimerase	5.1.3.5	NA	UniRef50_Q59745	40.181	5.46e-75	238	97	OCPOBL_00015	39	366	|PWY-63|	good_blast	full	rxn01075 rxn27405 	NA	0	1
UDPGLUCEPIM-RXN	UDPGLUCEPIM-RXN	5.1.3.2	NA	UniRef90_P24325	62.5	2.3e-154	440	99	OCPOBL_00015	37	372	|PWY-6527|	good_blast	full	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
RXN-14572	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-7290|	good_blast	NA	 	NA	0	1
UDPGLUCEPIM-RXN	UDP-glucose 4-epimerase	5.1.3.2	NA	UniRef90_P24325	62.5	2.3e-154	440	99	OCPOBL_00015	37	372	|PWY-7344|	good_blast	full	rxn00214 rxn00295 rxn02138 rxn27412 rxn37863 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-7530|	good_blast	NA	 	NA	0	1
RXN-18069	UDP-6-deoxy-5,6-ene-GlcNAc 4-epimerase	NA	NA	tr|E5KJ99|E5KJ99_STRCX	37.463	2.27e-74	236	99	OCPOBL_00015	37	369	|PWY-7821|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8206|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8217|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8219|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8220|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8222|	good_blast	NA	 	NA	0	1
RXN-14572	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8224|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8231|	good_blast	NA	 	NA	0	1
RXN-14572	RXN-14572	5.1.3.26	NA	tr|Q4KXC7|Q4KXC7_ECOLX	53.412	2.4500000000000002e-124	364	99	OCPOBL_00015	37	372	|PWY-8232|	good_blast	NA	 	NA	0	1
