# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
NADPYROPHOSPHAT-RXN	NAD pyrophosphatase	3.6.1.22	NA	UniRef90_B2VG76	34.44	1.5599999999999999e-38	132	87	BPNJPA_00100	32	269	|NAD-BIOSYNTHESIS-II|	bad_blast	NA	rxn00076 rxn02154 	NA	0	NA
NADPYROPHOSPHAT-RXN	NAD pyrophosphatase	3.6.1.22	NA	UniRef90_B2VG76	34.44	1.5599999999999999e-38	132	87	BPNJPA_00100	32	269	|PWY-5381|	bad_blast	NA	rxn00076 rxn02154 	NA	0	NA
NADPYROPHOSPHAT-RXN	NAD pyrophosphatase	3.6.1.22	NA	UniRef90_B2VG76	34.44	1.5599999999999999e-38	132	87	BPNJPA_00100	32	269	|PWY-7761|	bad_blast	NA	rxn00076 rxn02154 	NA	0	NA
NADPYROPHOSPHAT-RXN	NAD pyrophosphatase	3.6.1.22	NA	UniRef90_B2VG76	34.44	1.5599999999999999e-38	132	87	BPNJPA_00100	32	269	|PYRIDNUCSAL-PWY|	bad_blast	NA	rxn00076 rxn02154 	NA	0	NA
RXN-16462	alginate O-acetylase	NA	NA	UniRef90_Q88ND2	38.875	3.07e-81	257	77	BPNJPA_00145	21	403	|PWY-6082|	good_blast	NA	 	NA	0	1
RXN-1641	phospholipid: lyso-phosphatidylcholine acyltransferase	2.3.1.158	NA	UniRef50_A0A1E3AL50	41.71	1.26e-91	283	77	BPNJPA_00145	28	404	|PWY-7416|	good_blast	NA	rxn06901 rxn17462 rxn23718 	NA	0	1
RXN-1641	phospholipid:diacylglycerol acyltransferase	2.3.1.158	NA	UniRef50_A0A1E3AL50	41.71	1.26e-91	283	77	BPNJPA_00145	28	404	|TRIGLSYN-PWY|	good_blast	NA	rxn06901 rxn17462 rxn23718 	NA	0	1
RXN-15412	ElmJ	2.3.1.235	NA	UniRef90_P12884	27.536	0.3	25.4	83	BPNJPA_00210	264	318	|PWY-7483|	bad_blast	NA	 	Subunit undefined	0	NA
RXN-15412	ElmJ	2.3.1.235	NA	UniRef90_P12884	27.536	0.3	25.4	83	BPNJPA_00210	264	318	|PWY-7485|	bad_blast	NA	 	Subunit undefined	0	NA
DARABKIN-RXN	D-ribulokinase	2.7.1.51	NA	UniRef50_A0A2R2WB83	52.581	0	538	95	BPNJPA_00220	24	546	|DARABCATK12-PWY|	good_blast	keyenzyme	rxn02319 	NA	0	1
FUCULOKIN-RXN	L-fuculokinase	2.7.1.51	NA	UniRef50_A0A2R2WB83	52.581	0	538	95	BPNJPA_00220	24	546	|FUCCAT-PWY|	good_blast	full	rxn02319 	NA	0	1
ARYLDIALKYL-PHOSPHATASE-RXN	parathion hydrolase	3.1.8.1	NA	tr|C0K3M4|C0K3M4_LEVBR	22.892	3.51e-10	55.1	97	BPNJPA_00275	36	262	|PARATHION-DEGRADATION-PWY|	bad_blast	NA	rxn03721 rxn03837 rxn06543 rxn11584 rxn19200 rxn25120 	NA	0	NA
RXN-8743	methyl parathion hydrolase	3.1.8.1	NA	tr|C0K3M4|C0K3M4_LEVBR	22.892	3.51e-10	55.1	97	BPNJPA_00275	36	262	|PWY-5489|	bad_blast	NA	rxn03721 rxn03837 rxn06543 rxn11584 rxn19200 rxn25120 	NA	0	NA
RXN-19378	RXN-19378	3.2.1.51	NA	UniRef50_A0A1E3L4H1	38.696	2.78e-44	147	84	BPNJPA_00275	17	242	|PWY-6807|	bad_blast	NA	rxn06328 rxn19147 	NA	1	NA
RXN-20725	chlorpyrifos hydrolase	3.1.8.1	NA	tr|C0K3M4|C0K3M4_LEVBR	22.892	3.51e-10	55.1	97	BPNJPA_00275	36	262	|PWY-8065|	bad_blast	NA	rxn03721 rxn03837 rxn06543 rxn11584 rxn19200 rxn25120 	NA	0	NA
ALPHA-L-FUCOSIDASE-RXN	alpha-L-fucosidase	3.2.1.51	NA	UniRef50_A0A1E3L4H1	38.696	2.78e-44	147	84	BPNJPA_00275	17	242	MUC-GLYCAN_DEG	bad_blast	NA	rxn06328 rxn19147 	NA	1	NA
RIBULPEPIM-RXN	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	NA	UniRef90_P39306	53.304	3.37e-85	249	99	BPNJPA_00335	3	226	|ARABCAT-PWY|	good_blast	NA	rxn04082 	NA	0	1
RIBULPEPIM-RXN	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	NA	UniRef90_P39306	53.304	3.37e-85	249	99	BPNJPA_00335	3	226	|LYXMET-PWY|	good_blast	NA	rxn04082 	NA	0	1
RIBULPEPIM-RXN	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	NA	UniRef90_P39306	53.304	3.37e-85	249	99	BPNJPA_00335	3	226	|PWY0-301|	good_blast	NA	rxn04082 	NA	0	1
4.1.1.51-RXN	3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	4.1.1.51	NA	UniRef90_Q988D0	25.806	0.005	33.1	75	BPNJPA_00335	23	201	|PWY-5499|	bad_blast	NA	rxn02477 	NA	0	NA
RIBULPEPIM-RXN	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	NA	UniRef90_P39306	53.304	3.37e-85	249	99	BPNJPA_00335	3	226	|PWY-6961|	good_blast	NA	rxn04082 	NA	0	1
RXN-21316	5-deoxyribulose-1-phosphate aldolase	4.1.2.62	NA	sp|P0DTQ0|DRDA_BACT7	36.413	2.24e-24	92.8	80	BPNJPA_00335	19	201	|PWY-8130|	bad_blast	NA	rxn39252 	NA	0	NA
RXN-21316	5-deoxyribulose 1-phosphate aldolase	4.1.2.62	NA	sp|P0DTQ0|DRDA_BACT7	36.413	2.24e-24	92.8	80	BPNJPA_00335	19	201	|PWY-8131|	bad_blast	NA	rxn39252 	NA	0	NA
ADENPHOSPHOR-RXN	ADENPHOSPHOR-RXN	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|P121-PWY|	good_blast	full	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
INOPHOSPHOR-RXN	inosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY0-1296|	good_blast	full	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
RXN-7001	purine ribonucleoside:arsenate alpha-D-ribosyltransferase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-4202|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
ADENPHOSPHOR-RXN	adenosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-5532|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
XANTHOSINEPHOSPHORY-RXN	xanthosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-5695|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
RXN0-5199	guanosine phosphorylase	2.4.2.15/2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-6608|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
ADENPHOSPHOR-RXN	adenosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-6609|	good_blast	keyenzyme	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
ADENPHOSPHOR-RXN	adenosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-6611|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
RXN0-5199	guanosine phosphorylase	2.4.2.15/2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-6620|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
RXN-11715	chloro-purine nucleoside phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-6627|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
RXN-11743	5'-deoxy-5'-fluoroadenosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-6644|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
RXN-12241	S-methyl-5'-thioinosine phosphorylase	2.4.2.44	NA	UniRef90_Q9HZK1	26.267	4.15e-13	63.5	86	BPNJPA_00385	64	273	|PWY-6753|	bad_blast	NA	rxn16511 	NA	0	NA
DEOXYGUANPHOSPHOR-RXN	deoxyguanosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-7179-1|	good_blast	full	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
DEOXYINOPHOSPHOR-RXN	deoxyinosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-7179|	good_blast	full	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
RXN0-5199	guanosine phosphorylase	2.4.2.15/2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|PWY-8440|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
INOPHOSPHOR-RXN	inosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|SALVADEHYPOX-PWY|	good_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
XANTHOSINEPHOSPHORY-RXN	xanthosine phosphorylase	2.4.2.1	NA	UniRef90_P77834	50.562	2.43e-97	283	97	BPNJPA_00385	10	276	|SALVPURINE2-PWY|	good_blast	full	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	1
DEOXYRIBOSE-P-ALD-RXN	deoxyribose-phosphate aldolase	4.1.2.4	NA	UniRef90_P39121	54.673	1.14e-70	211	96	BPNJPA_00400	12	224	|PWY-7180|	good_blast	full	rxn00784 rxn19461 	NA	0	1
DEOXYRIBOSE-P-ALD-RXN	deoxyribose-phosphate aldolase	4.1.2.4	NA	UniRef90_P39121	54.673	1.14e-70	211	96	BPNJPA_00400	12	224	|PWY-8060|	good_blast	NA	rxn00784 rxn19461 	NA	0	1
URPHOS-RXN	uridine phosphorylase	2.4.2.2/2.4.2.3	NA	UniRef90_Q99SC3	60.199	2.5e-175	495	93	BPNJPA_00405	26	427	|PWY0-1295|	good_blast	NA	rxn01366 rxn11757 	NA	0	1
RXN-8800	AMP phosphorylase	2.4.2.57	NA	UniRef50_A0A523T550	31.504	2.62e-49	172	77	BPNJPA_00405	32	446	|PWY-5532|	bad_blast	NA	 	NA	0	NA
URPHOS-RXN	uridine phosphorylase	2.4.2.2/2.4.2.3	NA	UniRef90_Q99SC3	60.199	2.5e-175	495	93	BPNJPA_00405	26	427	|PWY-5532|	good_blast	NA	rxn01366 rxn11757 	NA	0	1
THYM-PHOSPH-RXN	thymidine phosphorylase	2.4.2.2/2.4.2.4	NA	UniRef90_Q99SC3	60.199	2.5e-175	495	93	BPNJPA_00405	26	427	|PWY-7181|	good_blast	NA	rxn01146 rxn01446 rxn01799 rxn01985 rxn11750 rxn11758 rxn27328 	NA	0	1
OXALODECARB-RXN	oxaloacetate beta-decarboxylase	4.1.1.112/4.1.1.3/7.2.4.2	NA	UniRef90_Q8DC44	28.261	0.002	32	94	BPNJPA_00415	53	139	|METHYLGALLATE-DEGRADATION-PWY|	bad_blast	NA	rxn00162 rxn00736 rxn15044 	Subunit 3	0	1
OXALODECARB-RXN	oxaloacetate beta-decarboxylase	4.1.1.112/4.1.1.3/7.2.4.2	NA	UniRef90_Q8DC44	28.261	0.002	32	94	BPNJPA_00415	53	139	|P184-PWY|	bad_blast	NA	rxn00162 rxn00736 rxn15044 	Subunit 3	0	1
TRANS-RXN-462	erythritol ABC transporter	NA	NA	UniRef50_A0A0U1R057	33.678	4e-81	258	93	BPNJPA_00420	34	512	|PWY-7789|	good_blast	NA	 	NA	0	1
PPENTOMUT-RXN	phosphodeoxyribomutase	5.4.2.7/2.7.5.6	NA	UniRef90_A0PYX6	45.932	7.61e-115	336	95	BPNJPA_00425	1	377	|PWY0-1296|	good_blast	full	rxn00778 rxn01986 rxn15115 rxn19378 rxn32641 	NA	0	1
D-PPENTOMUT-RXN	D-deoxyribose 1,5-phosphomutase	5.4.2.7/2.7.5.6	NA	UniRef90_A0PYX6	45.932	7.61e-115	336	95	BPNJPA_00425	1	377	|PWY-7180|	good_blast	full	rxn00778 rxn01986 rxn15115 rxn19378 rxn32641 	NA	0	1
