# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	40.957	3.56e-155	462	95	HFBJIN_21885 flagellar biosynthesis protein FlhA	22	681	transporter
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	28.000	0.32	26.6	80	HFBJIN_02550 Multidrug export protein MepA	1	74	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	26.877	2.19e-25	98.2	94	HFBJIN_00185 3-oxoacyl-[acyl-carrier-protein] reductase FabG	8	257	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	36.397	5.20e-53	171	94	HFBJIN_16525 SDR family oxidoreductase	4	274	transporter
gnl|TC-DB|WP_116718986.1|1.A.1.21.2	1.A.1.21.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|WP_116718986.1|1.A.1.21.2	26.804	7.7	23.5	75	HFBJIN_05965 oligosaccharide flippase family protein	200	292	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	33.068	3.03e-50	162	98	HFBJIN_24610 flagellar motor stator protein MotA	1	251	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	35.827	1.75e-50	164	93	HFBJIN_08620 Chemotaxis protein PomA	1	252	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	31.474	1.09e-42	143	97	HFBJIN_24610 flagellar motor stator protein MotA	1	251	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	28.571	2.28e-22	90.9	83	HFBJIN_24605 Motility protein B	4	234	transporter
gnl|TC-DB|Q9PHZ4|1.A.43.1.11	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9PHZ4|1.A.43.1.11	42.500	9.65e-24	85.9	98	HFBJIN_25380 fluoride efflux transporter CrcB	1	120	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	44.000	0.84	22.3	81	HFBJIN_03990 Phosphotransferase system (PTS) fructose-specific enzyme IID component	256	280	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	44.000	0.84	22.3	81	HFBJIN_03990 Phosphotransferase system (PTS) fructose-specific enzyme IID component	256	280	transporter
gnl|TC-DB|D2K2A7|1.A.53.1.10	1.A.53.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|D2K2A7|1.A.53.1.10	26.531	0.84	23.9	91	HFBJIN_02635 ribosomal protein S18-alanine N-acetyltransferase	82	125	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	28.856	1.05e-18	77.8	97	HFBJIN_13190 Glycine transporter domain-containing protein	4	200	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	28.856	1.05e-18	77.8	97	HFBJIN_13190 Glycine transporter domain-containing protein	4	200	transporter
