# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	25.287	2.3	23.1	75	KDHFCO_05290	133	219	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	28.358	1.3	23.9	78	KDHFCO_12765	628	683	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.796	1.02e-37	130.0	82	KDHFCO_00465	2	210	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	23.148	2.2	25.4	77	KDHFCO_06070	198	393	transporter
gnl|TC-DB|P26678|1.A.50.1.1	1.A.50.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P26678|1.A.50.1.1	28.125	2.7	21.2	88	KDHFCO_03080	29	92	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	35.407	3.1199999999999998e-30	107.0	95	KDHFCO_11290	11	218	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	35.407	3.1199999999999998e-30	107.0	95	KDHFCO_11290	11	218	transporter
gnl|TC-DB|Q19QW7|1.A.65.1.2	1.A.65.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q19QW7|1.A.65.1.2	25.758	3.9	21.9	87	KDHFCO_03860	30	91	transporter
gnl|TC-DB|K9UJK2|1.A.78.2.10	1.A.78.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UJK2|1.A.78.2.10	25.683	8.77e-10	52.4	86	KDHFCO_08745	5	177	transporter
gnl|TC-DB|K9UJK2|1.A.78.2.10	1.A.78.2.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UJK2|1.A.78.2.10	25.683	8.77e-10	52.4	86	KDHFCO_08745	5	177	transporter
gnl|TC-DB|V6HIG4|1.A.78.2.2	1.A.78.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|V6HIG4|1.A.78.2.2	29.114	4.57e-15	66.6	78	KDHFCO_05685	1	154	transporter
gnl|TC-DB|S5VBU1|1.A.78.2.3	1.A.78.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|S5VBU1|1.A.78.2.3	21.667	9.4e-05	37.7	83	KDHFCO_10560	17	185	transporter
gnl|TC-DB|K9UKU9|1.A.78.2.9	1.A.78.2.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UKU9|1.A.78.2.9	37.895	7.47e-39	128.0	95	KDHFCO_08745	1	185	transporter
gnl|TC-DB|Q66I64|1.A.8.10.16	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q66I64|1.A.8.10.16	28.319	6.4e-16	71.2	77	KDHFCO_05755	9	226	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	27.074	1.81e-10	55.5	83	KDHFCO_05755	11	233	transporter
