# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	38.873	4.2100000000000005e-166	490.0	99	BCPNCO_11020	6	689	transporter
gnl|TC-DB|Q6U8D0|1.A.1.14.3	1.A.1.14.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6U8D0|1.A.1.14.3	24.336	0.042	31.6	76	BCPNCO_06905	42	256	transporter
gnl|TC-DB|J8TM36|1.A.1.14.8	1.A.1.14.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|J8TM36|1.A.1.14.8	22.4	0.019	32.7	86	BCPNCO_06905	18	256	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.203	3.57e-35	124.0	90	BCPNCO_15290	3	233	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	25.641	1.71e-11	60.5	79	BCPNCO_07425	59	276	transporter
gnl|TC-DB|Q9YDF8|1.A.1.17.1	1.A.1.17.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9YDF8|1.A.1.17.1	28.077	2.54e-30	112.0	85	BCPNCO_06905	10	256	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	36.139	5.630000000000001e-31	112.0	75	BCPNCO_06905	48	244	transporter
gnl|TC-DB|WP_048042267.1|1.A.1.21.3	1.A.1.21.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|WP_048042267.1|1.A.1.21.3	23.134	3.5	24.3	86	BCPNCO_11485	108	221	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	34.553	1.01e-41	140.0	96	BCPNCO_01745	8	247	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	35.878	3.0500000000000002e-49	160.0	94	BCPNCO_09515	1	257	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	32.819	4.08e-41	139.0	100	BCPNCO_09515	1	259	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	28.302	1.63e-25	99.4	84	BCPNCO_01750	1	245	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	33.333	3.7	22.7	85	BCPNCO_07350	441	520	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	33.333	3.7	22.7	85	BCPNCO_07350	441	520	transporter
gnl|TC-DB|C7CD71|1.A.43.1.18	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|C7CD71|1.A.43.1.18	37.113	3.19e-16	66.2	79	BCPNCO_08225	1	93	transporter
gnl|TC-DB|Q5QRI8|1.A.53.1.1	1.A.53.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q5QRI8|1.A.53.1.1	31.373	2.4	22.7	78	BCPNCO_18090	101	147	transporter
gnl|TC-DB|P03493|1.A.58.1.1	1.A.58.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P03493|1.A.58.1.1	26.667	2.0	24.3	75	BCPNCO_17560	191	278	transporter
