# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-16637	RXN-16637	3.1.1.29	NA	UniRef90_A3CJX1	57.143	1.17e-80	237	100	KDHFCO_00055	1	189	|PWY-6308|	good_blast	NA	rxn06624 rxn19162 rxn22923 rxn27707 rxn31678 	NA	0	1
GUANPRIBOSYLTRAN-RXN	guanine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.06e-71	212	98	KDHFCO_00090	1	177	|PWY-6599|	good_blast	full	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.06e-71	212	98	KDHFCO_00090	1	177	|PWY-6609|	good_blast	full	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.06e-71	212	98	KDHFCO_00090	1	177	|PWY-6610|	good_blast	NA	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
GUANPRIBOSYLTRAN-RXN	guanine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.06e-71	212	98	KDHFCO_00090	1	177	|PWY-6620|	good_blast	full	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
RXN-23383	protein-N&pi	NA	NA	UniRef50_A0A0R1J9G5	50.556	0	598	98	KDHFCO_00140	2	607	|PWY-8394|	good_blast	full	 	Subunit EIICB	0	1
MANNPDEHYDROG-RXN	mannitol-1-phosphate 5-dehydrogenase	1.1.1.17	NA	UniRef90_A2RH97	98.711	0	781	100	KDHFCO_00155	1	388	|MANNIDEG-PWY|	good_blast	full	rxn00546 rxn15354 rxn20181 	NA	0	1
MANNPDEHYDROG-RXN	mannitol-1-phosphate 5-dehydrogenase	1.1.1.17	NA	UniRef90_A2RH97	98.711	0	781	100	KDHFCO_00155	1	388	|PWY-6531|	good_blast	NA	rxn00546 rxn15354 rxn20181 	NA	0	1
VALINE-PYRUVATE-AMINOTRANSFER-RXN	valine-pyruvate aminotransferase	2.6.1.66	NA	UniRef90_P96847	27.855	1.31e-45	160	91	KDHFCO_00365	32	386	|ALANINE-VALINESYN-PWY|	good_blast	full	rxn00904 rxn33939 	NA	0	1
RXN-10814	L-phenylalanine:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.57/2.6.1.27	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|ANAPHENOXI-PWY|	good_blast	full	rxn00483 rxn00493 rxn01947 rxn06810 	NA	0	1
ASPAMINOTRANS-RXN	aspartate aminotransferase	2.6.1.1	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|ASPARTATE-DEG1-PWY|	good_blast	full	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
ASPAMINOTRANS-RXN	aspartate transaminase	2.6.1.1	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|ASPARTATESYN-PWY|	good_blast	full	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
4.4.1.14-RXN	1-aminocyclopropane-1-carboxylate synthase	4.4.1.14	NA	UniRef50_A0A8C8G6F7	30.508	3.42e-47	165	90	KDHFCO_00365	33	374	|ETHYL-PWY|	good_blast	NA	rxn00128 	NA	0	1
ASPAMINOTRANS-RXN	aspartate transaminase	2.6.1.1	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|GLUTDEG-PWY|	good_blast	full	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	2-aminoadipatee:2-oxoglutarate aminotransferase	2.6.1.39	NA	UniRef90_P58350	33.062	1.19e-60	201	88	KDHFCO_00365	32	384	|LYSINE-AMINOAD-PWY|	good_blast	threshold	rxn01423 rxn33144 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	alpha-aminoadipate aminotransferase	2.6.1.39	NA	UniRef90_P58350	33.062	1.19e-60	201	88	KDHFCO_00365	32	384	|LYSINE-DEG1-PWY|	good_blast	threshold	rxn01423 rxn33144 	NA	0	1
ASPAMINOTRANS-RXN	aspartate aminotransferase	2.6.1.1	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|MALATE-ASPARTATE-SHUTTLE-PWY|	good_blast	full	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
RXN-10814	phenylalanine aminotransferase	2.6.1.1/2.6.1.57/2.6.1.27	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|PHESYN|	good_blast	full	rxn00483 rxn00493 rxn01947 rxn06810 	NA	0	1
R15-RXN	methionine transaminase	2.6.1.88	NA	UniRef90_P77806	30.141	2.5899999999999997e-54	184	91	KDHFCO_00365	33	383	|PWY-1186|	good_blast	NA	rxn14382 rxn20668 rxn37695 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	L-2-aminoadipate aminotransferase	2.6.1.39	NA	UniRef90_P58350	33.062	1.19e-60	201	88	KDHFCO_00365	32	384	|PWY-3081|	good_blast	NA	rxn01423 rxn33144 	NA	0	1
PREPHENATE-TRANSAMINE-RXN	aspartate-prephenate aminotransferase	2.6.1.79	NA	UniRef90_Q82WA8	31.72	6.91e-60	198	92	KDHFCO_00365	32	387	|PWY-3461|	good_blast	NA	rxn05036 rxn28083 	NA	0	1
PREPHENATE-ASP-TRANSAMINE-RXN	glutamate-prephenate aminotransferase	2.6.1.78	NA	UniRef90_Q8KDS8	35.616	1.7300000000000002e-66	216	90	KDHFCO_00365	32	383	|PWY-3461|	good_blast	NA	rxn01270 	NA	0	1
PREPHENATE-TRANSAMINE-RXN	aspartate-prephenate aminotransferase	2.6.1.79	NA	UniRef90_Q82WA8	31.72	6.91e-60	198	92	KDHFCO_00365	32	387	|PWY-3462|	good_blast	NA	rxn05036 rxn28083 	NA	0	1
PREPHENATE-ASP-TRANSAMINE-RXN	glutamate-prephenate aminotransferase	2.6.1.78	NA	UniRef90_Q8KDS8	35.616	1.7300000000000002e-66	216	90	KDHFCO_00365	32	383	|PWY-3462|	good_blast	NA	rxn01270 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	L-tyrosine transaminase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|PWY-3581|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	L-tyrosine:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|PWY3O-4108|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
2.6.1.14-RXN	asparagine aminotransferase	2.6.1.14	NA	UniRef90_Q8DTM1	32.329	3.97e-63	207	91	KDHFCO_00365	32	386	|PWY-4002|	good_blast	NA	rxn05983 rxn05984 rxn17651 	NA	0	1
RXN-15650	2-oxo-4-methylthiobutanoate aminotransferase	2.6.1.117	NA	UniRef90_O31665	28.302	6.119999999999999e-42	151	92	KDHFCO_00365	17	382	|PWY-4361|	good_blast	NA	 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	tyrosine aminotransferase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.02e-71	227	91	KDHFCO_00365	32	386	|PWY-5048|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
