# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	30.526	2.2	24.3	79	OCPOBL_11095	119	213	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	19.928	0.018	33.9	77	OCPOBL_13930	204	453	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	28.837	2.06e-24	95.9	80	OCPOBL_06460	4	216	transporter
gnl|TC-DB|Q81HW2|1.A.1.21.1	1.A.1.21.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q81HW2|1.A.1.21.1	28.972	6.3	23.5	93	OCPOBL_15120	343	443	transporter
gnl|TC-DB|Q81HW2|1.A.1.21.1	1.A.1.21.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q81HW2|1.A.1.21.1	28.972	6.3	23.5	93	OCPOBL_15120	343	443	transporter
gnl|TC-DB|YP_009174599.1|1.A.1.7.8	1.A.1.7.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|YP_009174599.1|1.A.1.7.8	28.049	8.3	22.7	83	OCPOBL_24315	41	117	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	25.357	5.550000000000001e-21	89.0	81	OCPOBL_04080	25	290	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	24.0	0.68	24.6	82	OCPOBL_08650	50	99	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	24.0	0.68	24.6	82	OCPOBL_08650	50	99	transporter
gnl|TC-DB|P26678|1.A.50.1.1	1.A.50.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P26678|1.A.50.1.1	27.5	3.0	22.3	77	OCPOBL_10945	14	47	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	31.034	3.3	21.2	94	OCPOBL_07345	108	136	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	31.034	3.3	21.2	94	OCPOBL_07345	108	136	transporter
gnl|TC-DB|Q5QRI8|1.A.53.1.1	1.A.53.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q5QRI8|1.A.53.1.1	36.17	3.4	22.7	75	OCPOBL_28970	386	430	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	28.986	3.91e-17	73.9	94	OCPOBL_17505	7	210	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	28.986	3.91e-17	73.9	94	OCPOBL_17505	7	210	transporter
gnl|TC-DB|Q19QW7|1.A.65.1.2	1.A.65.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q19QW7|1.A.65.1.2	29.688	5.3	22.7	84	OCPOBL_14010	270	326	transporter
gnl|TC-DB|P29705|1.A.77.3.29	1.A.77.3.29	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P29705|1.A.77.3.29	25.758	0.2	28.1	97	OCPOBL_27585	1	118	transporter
gnl|TC-DB|P50708|1.C.19.1.4	1.C.19.1.4	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P50708|1.C.19.1.4	27.174	3.3	23.9	94	OCPOBL_06220	13	96	transporter
