# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
2.5.1.19-RXN	5-enolpyruvoylshikimate-3-phosphate synthase	2.5.1.19	NA	UniRef90_B0K928	53.103	1.15e-154	447	99	NOEMGP_00015	5	439	|PWY-6163|	good_blast	threshold	rxn02476 	NA	0	1
PREPHENATEDEHYDROG-RXN	prephenate dehydrogenase	1.3.1.12	NA	UniRef90_P20692	37.647	1.7e-71	230	91	NOEMGP_00020	17	353	|PWY-7303|	good_blast	NA	rxn01268 	NA	0	1
PREPHENATEDEHYDROG-RXN	prephenate dehydrogenase	1.3.1.12	NA	UniRef90_P20692	37.647	1.7e-71	230	91	NOEMGP_00020	17	353	|TYRSYN|	good_blast	full	rxn01268 	NA	0	1
rxn2	lacto-N-biose transporter	3.6.3.18/7.5.2.2	NA	UniRef50_B6IXQ1	39.628	4.6300000000000006e-79	250	93	NOEMGP_00110	1	363	LNT-DEGRADATION	good_blast	NA	rxn05598 rxn05608 rxn10173 rxn10833 rxn10839 rxn18480 rxn18481 rxn18482 rxn18483 rxn18484 rxn18485 rxn18486 rxn18487 rxn18488 rxn18489 rxn18490 rxn18491 rxn18492 rxn18493 rxn18494 rxn18495 rxn18496 rxn18497 rxn18498 rxn18499 rxn18500 rxn18501 rxn18502 rxn18503 rxn18504 rxn18505 rxn18506 rxn18507 rxn18508 rxn18509 rxn18510 rxn18511 rxn18512 rxn18513 rxn18514 rxn18515 rxn18516 rxn18517 rxn18518 rxn18519 rxn18520 rxn18521 rxn18522 rxn18523 rxn18524 rxn18525 rxn18526 rxn18527 rxn18528 rxn18529 rxn18530 rxn18531 rxn18532 rxn18533 rxn18534 rxn18535 rxn18536 rxn18537 rxn18538 rxn18539 rxn18540 rxn18541 rxn18542 rxn18543 rxn18544 rxn18545 rxn18546 rxn18547 rxn18548 rxn18549 rxn18550 rxn18551 rxn18552 rxn18553 rxn18554 rxn18555 rxn18556 rxn18557 rxn18558 rxn18559 rxn18560 rxn18561 rxn18562 rxn18563 rxn18564 rxn18565 rxn18566 rxn18567 rxn18568 rxn18569 rxn18570 rxn18571 rxn18572 rxn18573 rxn18574 rxn18575 rxn23334 rxn90005 rxn90009 	NA	0	1
ABC-malt-transporter	ABC-type maltose transporter	7.5.2.1/3.6.3.19	NA	UniRef90_Q7N986	40.729	9.800000000000001e-77	243	86	NOEMGP_00110	1	325	EXC-STARCH-N27	good_blast	full	rxn00062 rxn05170 rxn05608 rxn18573 	NA	0	1
GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	NA	UniRef90_O66514	41.189	3.7400000000000004e-124	372	99	NOEMGP_00135	6	475	|AMMASSIM-PWY|	good_blast	full	rxn00187 rxn30022 rxn31278 rxn31279 rxn33952 	NA	0	1
GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	NA	UniRef90_O66514	41.189	3.7400000000000004e-124	372	99	NOEMGP_00135	6	475	|GLNSYN-PWY|	good_blast	full	rxn00187 rxn30022 rxn31278 rxn31279 rxn33952 	NA	0	1
GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	NA	UniRef90_O66514	41.189	3.7400000000000004e-124	372	99	NOEMGP_00135	6	475	|PWY-6964|	good_blast	full	rxn00187 rxn30022 rxn31278 rxn31279 rxn33952 	NA	0	1
GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	NA	UniRef90_O66514	41.189	3.7400000000000004e-124	372	99	NOEMGP_00135	6	475	|PWY-8291|	good_blast	NA	rxn00187 rxn30022 rxn31278 rxn31279 rxn33952 	NA	0	1
GLUTAMINESYN-RXN	glutamine synthetase	6.3.1.2	NA	UniRef90_O66514	41.189	3.7400000000000004e-124	372	99	NOEMGP_00135	6	475	|PWY-8294|	good_blast	NA	rxn00187 rxn30022 rxn31278 rxn31279 rxn33952 	NA	0	1
1.12.1.3-RXN	NADP-dependent hydrogenase	1.12.1.3	NA	UniRef90_Q46508	50.508	0	564	99	NOEMGP_00140	1	583	|PWY-6512|	good_blast	NA	rxn07200 	Subunit HndD	0	NA
RXN-12215	hydrogenase	1.12.1.4	NA	sp|O52683|HYDA_THEMA	41.638	1.0099999999999999e-119	383	85	NOEMGP_00140	2	583	|PWY-6744|	good_blast	full	rxn16350 rxn22535 	Subunit 1	0	1
1.12.1.3-RXN	hydrogenase	1.12.1.3	NA	UniRef90_Q46508	50.508	0	564	99	NOEMGP_00140	1	583	|PWY-6765|	good_blast	NA	rxn07200 	Subunit HndD	0	NA
CYTOCHROME-C3-HYDROGENASE-RXN	periplasmic [NiFe] hydrogenase 1	1.12.2.1	NA	sp|P07598|PHFL_NITV2	48.564	3.16e-106	339	86	NOEMGP_00140	145	524	|PWY-8377|	good_blast	NA	rxn06557 rxn19361 	Subunit 3	0	NA
RXN0-5330	quinone reductase	1.6.5.9	NA	sp|P31979|NUOF_ECOLI	41.089	3.69e-98	310	89	NOEMGP_00145	157	558	|PWY0-1567|	good_blast	NA	rxn06108 rxn20240 rxn37813 	Subunit 6	0	1
