# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-23137	adenylate L-glycero-beta-D-manno-heptosyltransferase	NA	NA	tr|A0A2P1G6B8|A0A2P1G6B8_STRFI	19.113	1.5	27.3	80	KDHFCO_00010	34	306	|PWY-8366|	bad_blast	NA	 	NA	0	NA
RXN-16637	RXN-16637	3.1.1.29	NA	UniRef90_A3CJX1	57.143	1.23e-81	237	100	KDHFCO_00055	1	189	|PWY-6308|	good_blast	NA	rxn06624 rxn19162 rxn22923 rxn27707 rxn31678 	NA	0	1
GUANPRIBOSYLTRAN-RXN	guanine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.43e-72	212	98	KDHFCO_00090	1	177	|PWY-6599|	good_blast	full	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.43e-72	212	98	KDHFCO_00090	1	177	|PWY-6609|	good_blast	full	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.43e-72	212	98	KDHFCO_00090	1	177	|PWY-6610|	good_blast	NA	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
GUANPRIBOSYLTRAN-RXN	guanine phosphoribosyltransferase	2.4.2.8	NA	UniRef90_Q839B2	64.607	7.43e-72	212	98	KDHFCO_00090	1	177	|PWY-6620|	good_blast	full	rxn00139 rxn00836 rxn00915 rxn01544 rxn11765 rxn11766 rxn11773 rxn32380 rxn33365 	NA	0	1
RXN-23383	protein-N&pi	NA	NA	UniRef50_A0A0R1J9G5	50.556	0	598	98	KDHFCO_00140	2	607	|PWY-8394|	good_blast	NA	 	Subunit EIICB	0	1
MANNPDEHYDROG-RXN	mannitol-1-phosphate 5-dehydrogenase	1.1.1.17	NA	UniRef90_A2RH97	98.711	0	781	100	KDHFCO_00155	1	388	|MANNIDEG-PWY|	good_blast	full	rxn00546 rxn15354 rxn20181 	NA	0	1
MANNPDEHYDROG-RXN	mannitol-1-phosphate 5-dehydrogenase	1.1.1.17	NA	UniRef90_A2RH97	98.711	0	781	100	KDHFCO_00155	1	388	|PWY-6531|	good_blast	NA	rxn00546 rxn15354 rxn20181 	NA	0	1
VALINE-PYRUVATE-AMINOTRANSFER-RXN	valine-pyruvate aminotransferase	2.6.1.66	NA	UniRef90_P96847	27.855	1.37e-46	160	91	KDHFCO_00365	32	386	|ALANINE-VALINESYN-PWY|	good_blast	full	rxn00904 rxn33939 	NA	0	1
RXN-10814	L-phenylalanine:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.57/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|ANAPHENOXI-PWY|	good_blast	NA	rxn00483 rxn00493 rxn01947 rxn06810 	NA	0	1
ASPAMINOTRANS-RXN	aspartate aminotransferase	2.6.1.1	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|ASPARTATE-DEG1-PWY|	good_blast	full	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
ASPAMINOTRANS-RXN	aspartate transaminase	2.6.1.1	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|ASPARTATESYN-PWY|	good_blast	full	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
4.4.1.14-RXN	1-aminocyclopropane-1-carboxylate synthase	4.4.1.14	NA	UniRef50_A0A8C8G6F7	30.508	3.5999999999999995e-48	165	90	KDHFCO_00365	33	374	|ETHYL-PWY|	good_blast	NA	rxn00128 	NA	0	1
ASPAMINOTRANS-RXN	aspartate transaminase	2.6.1.1	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|GLUTDEG-PWY|	good_blast	NA	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	2-aminoadipatee:2-oxoglutarate aminotransferase	2.6.1.39	NA	UniRef90_P58350	33.062	1.26e-61	201	88	KDHFCO_00365	32	384	|LYSINE-AMINOAD-PWY|	good_blast	NA	rxn01423 rxn33144 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	alpha-aminoadipate aminotransferase	2.6.1.39	NA	UniRef90_P58350	33.062	1.26e-61	201	88	KDHFCO_00365	32	384	|LYSINE-DEG1-PWY|	good_blast	NA	rxn01423 rxn33144 	NA	0	1
ASPAMINOTRANS-RXN	aspartate aminotransferase	2.6.1.1	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|MALATE-ASPARTATE-SHUTTLE-PWY|	good_blast	full	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
RXN-10814	phenylalanine aminotransferase	2.6.1.1/2.6.1.57/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PHESYN|	good_blast	full	rxn00483 rxn00493 rxn01947 rxn06810 	NA	0	1
R15-RXN	methionine transaminase	2.6.1.88	NA	UniRef90_P77806	30.141	2.72e-55	184	91	KDHFCO_00365	33	383	|PWY-1186|	good_blast	NA	rxn14382 rxn20668 rxn37695 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	L-2-aminoadipate aminotransferase	2.6.1.39	NA	UniRef90_P58350	33.062	1.26e-61	201	88	KDHFCO_00365	32	384	|PWY-3081|	good_blast	NA	rxn01423 rxn33144 	NA	0	1
PREPHENATE-TRANSAMINE-RXN	aspartate-prephenate aminotransferase	2.6.1.79	NA	UniRef90_Q82WA8	31.72	7.26e-61	198	92	KDHFCO_00365	32	387	|PWY-3461|	good_blast	NA	rxn05036 rxn28083 	NA	0	1
PREPHENATE-ASP-TRANSAMINE-RXN	glutamate-prephenate aminotransferase	2.6.1.78	NA	UniRef90_Q8KDS8	35.616	1.82e-67	216	90	KDHFCO_00365	32	383	|PWY-3461|	good_blast	NA	rxn01270 	NA	0	1
PREPHENATE-TRANSAMINE-RXN	aspartate-prephenate aminotransferase	2.6.1.79	NA	UniRef90_Q82WA8	31.72	7.26e-61	198	92	KDHFCO_00365	32	387	|PWY-3462|	good_blast	NA	rxn05036 rxn28083 	NA	0	1
PREPHENATE-ASP-TRANSAMINE-RXN	glutamate-prephenate aminotransferase	2.6.1.78	NA	UniRef90_Q8KDS8	35.616	1.82e-67	216	90	KDHFCO_00365	32	383	|PWY-3462|	good_blast	NA	rxn01270 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	L-tyrosine transaminase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-3581|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	L-tyrosine:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY3O-4108|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
2.6.1.14-RXN	asparagine aminotransferase	2.6.1.14	NA	UniRef90_Q8DTM1	32.329	4.18e-64	207	91	KDHFCO_00365	32	386	|PWY-4002|	good_blast	NA	rxn05983 rxn05984 rxn17651 	NA	0	1
RXN-15650	2-oxo-4-methylthiobutanoate aminotransferase	2.6.1.117	NA	UniRef90_O31665	28.302	6.44e-43	151	92	KDHFCO_00365	17	382	|PWY-4361|	good_blast	NA	 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	tyrosine aminotransferase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-5048|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
RXN-10814	L-phenylalanine:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.57/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-5079|	good_blast	full	rxn00483 rxn00493 rxn01947 rxn06810 	NA	0	1
TRYPTOPHAN-AMINOTRANSFERASE-RXN	L-tryptophan:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-5081|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
RXN-7737	L,L-diaminopimelate aminotransferase	2.6.1.83	NA	UniRef90_B8CX89	29.859	1.39e-53	179	90	KDHFCO_00365	32	382	|PWY-5097|	good_blast	NA	rxn07441 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	tyrosine aminotransferase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-5151|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
RXN-8119	2-furaldehyde phosphate aminotransferase	2.6.1.108	NA	UniRef50_A0A176S6M2	31.978	9.930000000000001e-47	160	99	KDHFCO_00365	24	387	|PWY-5254|	good_blast	NA	 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	2-aminoadipate transaminase	2.6.1.39	NA	UniRef90_P58350	33.062	1.26e-61	201	88	KDHFCO_00365	32	384	|PWY-5283|	good_blast	NA	rxn01423 rxn33144 	NA	0	1
RXN-8956	L-arginine:pyruvate transaminase	2.6.1.84	NA	UniRef90_Q9HUI9	33.053	7.240000000000001e-56	185	89	KDHFCO_00365	32	382	|PWY-5742|	good_blast	NA	rxn11731 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	L-tyrosine:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-5754|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
TRYPTOPHAN-AMINOTRANSFERASE-RXN	TRYPTOPHAN-AMINOTRANSFERASE-RXN	2.6.1.1/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-581|	good_blast	NA	rxn00483 rxn01947 rxn06810 	NA	0	1
TYROSINE-AMINOTRANSFERASE-RXN	tyrosine aminotransferase	2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-5886|	good_blast	full	rxn00483 rxn01947 rxn06810 	NA	0	1
R15-RXN	L-methionine transaminase	2.6.1.88	NA	UniRef90_P77806	30.141	2.72e-55	184	91	KDHFCO_00365	33	383	|PWY-6053|	good_blast	NA	rxn14382 rxn20668 rxn37695 	NA	0	1
PREPHENATE-TRANSAMINE-RXN	aspartate-prephenate aminotransferase	2.6.1.79	NA	UniRef90_Q82WA8	31.72	7.26e-61	198	92	KDHFCO_00365	32	387	|PWY-6120|	good_blast	NA	rxn05036 rxn28083 	NA	0	1
PREPHENATE-ASP-TRANSAMINE-RXN	glutamate-prephenate aminotransferase	2.6.1.78	NA	UniRef90_Q8KDS8	35.616	1.82e-67	216	90	KDHFCO_00365	32	383	|PWY-6120|	good_blast	NA	rxn01270 	NA	0	1
RXN-10814	L-phenylalanine aminotransferase	2.6.1.1/2.6.1.57/2.6.1.27	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-6318|	good_blast	NA	rxn00483 rxn00493 rxn01947 rxn06810 	NA	0	1
RXN-11737	L-cysteate aminotransferase	2.6.1.1	NA	UniRef90_P23034	36.264	5.28e-72	227	91	KDHFCO_00365	32	386	|PWY-6638|	good_blast	NA	rxn00260 rxn00493 rxn00527 rxn00647 rxn01757 rxn01906 rxn15507 rxn31662 rxn31663 rxn33947 rxn33948 	NA	0	1
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	2-aminoadipate-2-oxoglutarate aminotransferase	2.6.1.39	NA	UniRef90_P58350	33.062	1.26e-61	201	88	KDHFCO_00365	32	384	|PWY66-425|	good_blast	NA	rxn01423 rxn33144 	NA	0	1
