# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-15513	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|ANAGLYCOLYSIS-PWY|	good_blast	full	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15513	phosphoglycerate mutase	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|GLYCOLYSIS|	good_blast	full	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15513	PHOSGLYPHOS-RXN	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|P122-PWY|	good_blast	full	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15513	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|PWY-1622|	good_blast	NA	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15513	phosphoglycerate mutase	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|PWY-5484|	good_blast	full	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15511	phosphoglycerate mutase 1	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|PWY-6405|	good_blast	NA	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15513	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|PWY66-399|	good_blast	threshold	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15513	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	|PWY-8404|	good_blast	threshold	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
RXN-15513	RXN-15513	5.4.2.11/3.1.3.13	NA	UniRef90_B3QPN8	60.729	1.4699999999999999e-108	318	100	EGBHEG_00010	71	317	BIFIDOSHUNT2	good_blast	NA	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	1
CYTOCHROME-C3-HYDROGENASE-RXN	periplasmic [NiFe] hydrogenase 1	1.12.2.1	NA	sp|P07598|PHFL_NITV2	40.379	4.31e-81	265	86	EGBHEG_00090	212	578	|PWY-8377|	good_blast	NA	rxn06557 rxn19361 	Subunit 3	0	NA
RXN-10904	glutathione lyase	NA	NA	UniRef50_A0A2A7SKX2	66.116	1.76e-50	169	96	EGBHEG_00125	349	469	|PWY-6341|	bad_blast	NA	 	NA	0	NA
RXN-17940	tRNA ligase	NA	NA	UniRef90_A3N2F0	43.547	0	766	99	EGBHEG_00135	2	869	|PWY-6689|	good_blast	threshold	 	Subunit undefined	0	1
ISOLEUCINE--TRNA-LIGASE-RXN	isoleucine-tRNA ligase	6.1.1.5	NA	UniRef90_Q45477	25.938	6.25e-85	294	99	EGBHEG_00135	20	849	|TRNA-CHARGING-PWY|	good_blast	full	rxn06440 rxn19948 rxn38160 	NA	0	1
