# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	37.481	2.21e-157	468	94	NOEMGP_20775 flagellar biosynthesis protein FlhA	27	688	transporter
gnl|TC-DB|A7K9J5|1.A.1.12.2	1.A.1.12.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|A7K9J5|1.A.1.12.2	27.273	0.55	25.4	94	NOEMGP_01335 potassium-transporting ATPase subunit KdpA	427	514	transporter
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	27.778	9.9	22.3	75	NOEMGP_06950 WYL domain-containing protein	259	313	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.452	3.76e-27	103	91	NOEMGP_02720 Short-chain dehydrogenase/reductase SDR	2	241	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	26.368	2.8	25.8	83	NOEMGP_15895 Acyltransferase 3 domain-containing protein	128	321	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	28.333	4.5	21.9	85	NOEMGP_04410 Alpha-1,4 glucan phosphorylase	391	450	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	28.333	4.5	21.9	85	NOEMGP_04410 Alpha-1,4 glucan phosphorylase	391	450	transporter
gnl|TC-DB|O06873|1.A.30.1.2	1.A.30.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O06873|1.A.30.1.2	36.965	5.50e-49	160	97	NOEMGP_20720 MotA/TolQ/ExbB proton channel domain-containing protein	1	257	transporter
gnl|TC-DB|P39063|1.A.30.1.4	1.A.30.1.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P39063|1.A.30.1.4	38.153	1.09e-58	185	90	NOEMGP_20720 MotA/TolQ/ExbB proton channel domain-containing protein	2	249	transporter
gnl|TC-DB|Q8EGR6|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR6|1.A.30.1.6	36.822	1.11e-43	146	96	NOEMGP_20720 MotA/TolQ/ExbB proton channel domain-containing protein	1	253	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	23.162	3.31e-09	53.5	90	NOEMGP_20720 MotA/TolQ/ExbB proton channel domain-containing protein	9	248	transporter
