# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	28.358	1.3	23.9	78	EABAIN_11925 valine--tRNA ligase	628	683	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.947	2.8	23.1	75	EABAIN_05395 Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family	1	73	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.947	2.8	23.1	75	EABAIN_05395 Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family	1	73	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	35.047	2.58e-40	137	81	EABAIN_00310 Short-chain dehydrogenase	3	211	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	33.083	5.03e-46	152	92	EABAIN_07895 Short-chain dehydrogenase	7	267	transporter
gnl|TC-DB|AUR85893.1|1.A.1.30.1	1.A.1.30.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|AUR85893.1|1.A.1.30.1	23.214	9.6	23.5	76	EABAIN_01770 multidrug efflux ABC transporter LmrCD subunit C	235	382	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	27.928	9.0	22.3	77	EABAIN_02260 DUF218 domain-containing protein	14	109	transporter
gnl|TC-DB|P26678|1.A.50.1.1	1.A.50.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P26678|1.A.50.1.1	28.125	3.0	21.2	88	EABAIN_03145 Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)	29	92	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	34.722	3.83e-28	102	95	EABAIN_10725 Uncharacterized membrane protein YeiH	11	218	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	34.722	3.83e-28	102	95	EABAIN_10725 Uncharacterized membrane protein YeiH	11	218	transporter
gnl|TC-DB|K9UJK2|1.A.78.2.10	1.A.78.2.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UJK2|1.A.78.2.10	27.869	3.49e-08	47.8	87	EABAIN_00590 Uncharacterized membrane protein	2	159	transporter
gnl|TC-DB|K9UKU9|1.A.78.2.9	1.A.78.2.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UKU9|1.A.78.2.9	40.526	2.55e-40	132	95	EABAIN_04630 Uncharacterized membrane protein	1	185	transporter
gnl|TC-DB|Q66I64|1.A.8.10.16	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q66I64|1.A.8.10.16	28.571	7.49e-17	73.9	77	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	8	228	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	28.333	2.36e-10	55.5	87	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	235	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	29.388	1.84e-14	67.0	85	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	9	238	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	34.127	1.59e-35	124	88	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	240	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	30.252	1.32e-19	81.6	77	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	239	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	29.487	1.03e-19	82.4	75	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	239	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	30.677	2.09e-22	88.6	97	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	241	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	33.202	2.52e-26	99.4	98	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	237	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	29.286	1.87e-17	75.1	98	EABAIN_08740 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	6	285	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	56.596	2.90e-94	274	86	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	241	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	31.481	1.52e-37	129	99	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	244	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	98.616	0.0	573	100	EABAIN_11365 Glycerol facilitator-aquaporin gla	1	289	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	38.017	4.28e-37	127	95	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	1	229	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	38.528	1.52e-53	169	95	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	233	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	43.103	1.42e-61	189	97	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	5	233	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	62.288	8.38e-105	300	97	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	6	239	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	40.678	5.16e-69	211	99	EABAIN_11365 Glycerol facilitator-aquaporin gla	1	288	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	40.000	9.96e-57	177	96	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	237	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	44.672	6.93e-66	201	98	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	5	236	transporter
gnl|TC-DB|A7BIX4|1.A.8.8.19	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|A7BIX4|1.A.8.8.19	29.630	1.67e-19	82.0	79	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	5	238	transporter
gnl|TC-DB|729057658|1.A.8.8.17	1.A.8.8.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|729057658|1.A.8.8.17	28.452	1.09e-11	59.7	77	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	8	240	transporter
gnl|TC-DB|C4PYI6|1.A.8.9.11	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C4PYI6|1.A.8.9.11	35.341	3.19e-39	134	80	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	8	240	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	34.127	1.66e-34	122	84	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	245	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	34.836	1.03e-38	132	91	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	3	240	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	34.677	2.78e-37	129	82	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	241	transporter
gnl|TC-DB|ALA27401|1.A.8.9.17	1.A.8.9.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ALA27401|1.A.8.9.17	26.962	2.11e-21	88.6	76	EABAIN_08740 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	4	287	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	30.000	3.47e-22	89.7	75	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	237	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	37.209	2.64e-42	142	78	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	240	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	37.209	2.64e-42	142	78	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	240	transporter
gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	1.A.8.9.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	32.932	9.48e-39	132	88	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	4	240	transporter
gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	1.A.8.9.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	32.932	9.48e-39	132	88	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	4	240	transporter
gnl|TC-DB|Q6ZXT4|1.A.8.9.4	1.A.8.9.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT4|1.A.8.9.4	37.097	7.26e-44	147	75	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	4	242	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	35.484	9.97e-39	133	82	EABAIN_06690 Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	7	241	transporter
gnl|TC-DB|O95166|1.A.9.5.2	1.A.9.5.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O95166|1.A.9.5.2	27.619	2.0	23.9	79	EABAIN_00390 heme ABC exporter ATP-binding protein CcmA	55	149	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	30.769	1.0	22.7	75	EABAIN_00035 redox-regulated ATPase YchF	69	107	transporter
gnl|TC-DB|P71460|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71460|1.C.30.1.1	31.915	1.1	22.7	82	EABAIN_07835 bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	259	305	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	2.8	18.9	80	EABAIN_03845 Glycosidase/amylase (phosphorylase)	187	198	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	2.8	18.9	80	EABAIN_03845 Glycosidase/amylase (phosphorylase)	187	198	transporter
gnl|TC-DB|Q9NJC6|1.C.47.3.2	1.C.47.3.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9NJC6|1.C.47.3.2	28.205	8.2	21.6	83	EABAIN_13085 ATP-dependent protease ClpL	360	437	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	27.126	1.84e-27	108	81	EABAIN_10550 Stk1 family PASTA domain-containing Ser/Thr kinase	12	238	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	24.706	5.7	23.9	76	EABAIN_08370 Phage tail length tape-measure protein	786	937	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	maltose	EX_cpd00179_e0	rxn09673	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.1	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|Q56ZZ7|2.A.1.1.102	2.A.1.1.102	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q56ZZ7|2.A.1.1.102	33.185	4.09e-74	239	81	EABAIN_07765 putative arabinose efflux permease AraJ, MFS family	3	447	transporter
gnl|TC-DB|Q0WWW9|2.A.1.1.103	2.A.1.1.103	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|Q0WWW9|2.A.1.1.103	32.468	7.29e-70	228	82	EABAIN_07765 putative arabinose efflux permease AraJ, MFS family	10	449	transporter
gnl|TC-DB|P30606|2.A.1.1.104	2.A.1.1.104	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P30606|2.A.1.1.104	30.490	6.77e-56	192	76	EABAIN_07765 putative arabinose efflux permease AraJ, MFS family	2	445	transporter
gnl|TC-DB|P32465|2.A.1.1.108	2.A.1.1.108	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P32465|2.A.1.1.108	30.803	2.71e-61	206	80	EABAIN_07755 Arabinose-proton symporter	17	451	transporter
UniRef90_A0A6C9EHW0|2.A.1.11.1	2.A.1.11.1	formate	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459,rxn27362	UniRef90_A0A6C9EHW0|2.A.1.11.1	36.126	5.75e-59	194	87	EABAIN_13050 Major facilitator superfamily (MFS) profile domain-containing protein	13	368	transporter
UniRef90_A0A6C9EHW0|2.A.1.11.1	2.A.1.11.1	FORMATE	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459,rxn27362	UniRef90_A0A6C9EHW0|2.A.1.11.1	36.126	5.75e-59	194	87	EABAIN_13050 Major facilitator superfamily (MFS) profile domain-containing protein	13	368	transporter
UniRef90_A0A6C9EHW0|2.A.1.11.1	2.A.1.11.1	OXALATE	EX_cpd00180_e0	rxn12615,rxn27362	UniRef90_A0A6C9EHW0|2.A.1.11.1	36.126	5.75e-59	194	87	EABAIN_13050 Major facilitator superfamily (MFS) profile domain-containing protein	13	368	transporter
gnl|TC-DB|P23585|2.A.1.1.111	2.A.1.1.111	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P23585|2.A.1.1.111	30.719	2.28e-58	197	84	EABAIN_07755 Arabinose-proton symporter	17	451	transporter
gnl|TC-DB|Q9P3U6|2.A.1.1.112	2.A.1.1.112	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q9P3U6|2.A.1.1.112	25.439	1.66e-40	149	81	EABAIN_07765 putative arabinose efflux permease AraJ, MFS family	12	444	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|C4B4V9|2.A.1.1.116	71.239	0.0	648	94	EABAIN_07755 Arabinose-proton symporter	1	452	transporter
gnl|TC-DB|G4N740|2.A.1.1.117	2.A.1.1.117	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|G4N740|2.A.1.1.117	32.174	1.12e-50	177	83	EABAIN_07765 putative arabinose efflux permease AraJ, MFS family	14	451	transporter
gnl|TC-DB|A2R3H2|2.A.1.1.119	2.A.1.1.119	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|A2R3H2|2.A.1.1.119	31.304	3.98e-57	193	88	EABAIN_07755 Arabinose-proton symporter	19	450	transporter
